Date,AAL,ADM,AES,AGN,ALKS,AMAT,AMD,AMGN,APD,ARNC,AVT,AXP,AXS,BAC
2016-01-04,40.91,35.84,9.43,307.470001,74.830002,18.469999,2.77,158.339996,119.509712,21.836565,42.32,67.589996,55.900002,16.43
2016-01-05,40.52,36.240002,9.56,308.730011,75.269997,18.49,2.75,158.169998,117.372803,20.847061,41.950001,66.550003,56.029999,16.43
2016-01-06,41.23,35.360001,9.23,303.450012,75.050003,17.73,2.51,156.720001,114.514336,19.362804,40.509998,64.419998,55.66,16.08
2016-01-07,40.450001,34.52,9.0,303.149994,72.040001,17.209999,2.28,152.979996,110.675301,18.598186,39.509998,63.84,55.02,15.5
2016-01-08,40.369999,34.389999,9.13,299.459991,71.239998,16.790001,2.14,150.710007,110.101761,18.148413,38.34,63.630001,54.68,15.2
2016-01-11,41.080002,34.16,9.03,299.369995,68.650002,16.68,2.34,147.690002,110.536537,17.990992,39.009998,64.050003,54.869999,15.31
2016-01-12,42.0,34.27,8.75,296.029999,68.0,16.75,2.39,150.789993,112.127663,16.371815,39.080002,64.400002,54.889999,15.31
2016-01-13,40.099998,33.470001,8.64,287.329987,63.849998,16.200001,2.25,145.460007,109.666977,16.034483,38.369999,62.849998,54.41,14.9
2016-01-14,40.549999,33.360001,8.85,299.119995,64.660004,16.809999,2.21,153.160004,109.509712,16.281858,38.91,63.290001,54.970001,14.99
2016-01-15,38.759998,31.51,8.54,295.23999,62.360001,16.08,2.03,151.300003,108.991676,15.51723,38.330002,62.91,54.200001,14.46
2016-01-19,38.860001,30.51,8.72,291.790009,59.529999,16.450001,1.95,151.300003,110.629044,15.15741,38.029999,62.639999,53.330002,14.24
2016-01-20,39.060001,31.290001,8.62,292.940002,60.419998,16.370001,1.8,155.020004,108.75116,15.15741,38.0,63.029999,52.639999,13.69
2016-01-21,39.790001,31.92,9.11,295.790009,33.689999,16.809999,2.09,152.779999,108.390381,15.944516,37.779999,62.639999,52.48,13.36
2016-01-22,40.16,33.23,9.17,298.040009,36.16,17.049999,2.02,156.080002,110.055504,15.449763,39.110001,55.060001,53.060001,13.56
2016-01-25,38.880001,32.43,8.74,295.950012,35.939999,16.91,2.12,153.429993,107.594818,15.292342,38.84,55.02,52.619999,12.96
2016-01-26,39.639999,33.630001,9.04,294.600006,34.759998,17.35,2.07,153.779999,109.537468,16.056959,39.860001,55.09,52.66,13.31
2016-01-27,39.689999,33.740002,9.08,290.019989,32.369999,17.09,2.13,150.470001,109.222939,15.652174,39.349998,54.52,53.02,13.36
2016-01-28,38.139999,34.700001,9.16,281.76001,30.639999,16.68,2.08,148.350006,110.092506,15.742129,38.82,52.880001,53.240002,13.53
2016-01-29,38.990002,35.349998,9.5,284.429993,32.009998,17.65,2.2,152.729996,117.215538,16.394291,39.919998,53.5,53.91,14.14
2016-02-01,39.380001,35.459999,9.46,282.700012,32.75,17.65,2.14,152.75,121.424606,16.21438,40.5,54.700001,54.0,13.96
2016-02-02,37.029999,32.360001,9.29,279.679993,33.080002,17.049999,1.99,150.110001,121.008324,15.674651,39.450001,53.66,53.799999,13.23
2016-02-03,37.509998,33.439999,9.75,278.390015,33.360001,17.290001,2.07,150.690002,123.385757,16.978998,39.509998,54.110001,52.77,13.03
2016-02-04,38.209999,34.25,9.8,272.450012,33.310001,17.58,2.09,149.910004,125.957443,18.688143,40.439999,54.380001,52.779999,13.25
2016-02-05,36.75,34.07,9.75,273.799988,32.169998,16.809999,1.98,145.039993,125.439407,18.260857,40.119999,53.98,52.5,12.95
2016-02-08,35.549999,33.299999,9.44,266.299988,29.450001,16.190001,1.93,143.0,120.95282,17.766104,39.369999,52.400002,52.169998,12.27
2016-02-09,36.189999,33.580002,9.51,272.339996,29.059999,16.1,1.9,143.160004,122.534691,17.563705,38.869999,52.630001,52.200001,12.2
2016-02-10,37.119999,33.18,9.53,279.769989,29.83,15.99,1.84,144.809998,120.675301,16.956522,39.189999,52.290001,53.029999,11.98
2016-02-11,36.490002,31.629999,9.0,274.549988,31.190001,15.64,1.86,141.460007,117.678078,16.484259,38.220001,51.110001,52.209999,11.16
2016-02-12,37.82,32.450001,9.17,280.480011,32.450001,16.059999,1.83,144.720001,120.582794,17.29384,39.0,52.66,52.299999,11.95
2016-02-16,38.610001,33.619999,9.38,284.450012,33.310001,16.719999,1.83,147.149994,121.507866,18.260857,40.02,53.18,52.810001,12.25
2016-02-17,39.34,33.400002,9.62,283.200012,34.889999,17.139999,1.9,151.070007,122.58094,19.160406,40.77,53.610001,53.279999,12.56
2016-02-18,39.540001,33.900002,9.7,277.980011,32.849998,17.17,1.91,149.300003,121.341354,18.260857,41.360001,54.150002,53.77,12.24
2016-02-19,39.759998,32.650002,9.41,275.75,33.57,18.379999,1.91,150.119995,121.674377,17.698637,41.279999,54.709999,53.970001,12.13
2016-02-22,40.84,33.790001,9.79,285.820007,34.009998,18.59,2.01,148.559998,122.96022,20.037466,41.639999,55.630001,53.639999,12.54
2016-02-23,40.380001,33.790001,9.58,286.779999,34.099998,18.51,1.97,147.259995,121.378357,19.182894,41.060001,55.110001,53.16,12.16
2016-02-24,40.66,33.849998,10.03,284.700012,34.07,18.690001,2.02,147.110001,121.692879,19.700134,41.220001,54.639999,53.650002,12.13
2016-02-25,41.360001,34.619999,9.97,296.339996,33.970001,18.889999,2.03,146.75,123.024979,19.947512,41.279999,55.389999,53.830002,12.32
2016-02-26,40.869999,34.790001,9.87,298.070007,33.610001,19.0,2.07,147.600006,123.626274,19.947512,41.439999,55.380001,53.91,12.7
2016-02-29,41.0,34.959999,9.8,290.109985,32.27,18.870001,2.14,142.279999,122.543938,20.082443,41.150002,55.580002,53.709999,12.52
2016-03-01,41.830002,35.48,10.12,295.910004,34.41,19.370001,2.18,148.389999,124.320076,20.487242,41.799999,56.799999,54.84,13.19
2016-03-02,41.59,35.830002,10.28,292.480011,35.189999,19.49,2.32,147.490005,124.162811,21.634167,41.939999,57.119999,55.5,13.41
2016-03-03,41.880001,36.830002,10.45,289.619995,32.91,19.450001,2.46,145.839996,124.773361,21.296835,42.529999,58.09,55.049999,13.5
2016-03-04,41.630001,37.650002,10.79,288.670013,32.580002,19.389999,2.37,145.979996,124.690102,21.521723,42.810001,58.290001,55.049999,13.54
2016-03-07,42.130001,37.139999,10.89,288.390015,33.93,19.440001,2.47,147.309998,124.884369,22.578693,43.119999,59.0,55.060001,13.53
2016-03-08,40.77,36.029999,10.62,284.429993,32.41,18.780001,2.3,144.630005,124.162811,20.981993,42.490002,59.43,54.439999,13.06
2016-03-09,41.650002,36.060001,10.5,289.980011,31.780001,19.17,2.26,140.899994,124.588341,21.184391,42.75,59.049999,54.290001,13.14
2016-03-10,41.630001,35.77,10.81,289.25,31.540001,19.57,2.26,141.029999,124.514336,21.5667,42.43,58.75,54.490002,13.27
2016-03-11,42.470001,36.599998,10.91,298.980011,32.91,20.040001,2.52,144.570007,126.244217,21.409279,43.41,59.459999,54.82,13.79
2016-03-14,42.59,36.709999,10.96,293.019989,32.290001,19.91,2.72,144.619995,126.040703,21.746611,43.0,59.57,54.669998,13.64
2016-03-15,42.110001,36.560001,10.97,283.0,30.360001,19.9,2.49,143.210007,124.005554,20.599684,42.700001,59.23,54.220001,13.57
2016-03-16,42.310001,37.459999,11.39,272.76001,29.049999,20.049999,2.63,143.979996,125.864937,21.904032,43.200001,59.700001,54.709999,13.31
2016-03-17,42.099998,38.200001,11.53,272.700012,29.99,20.280001,2.8,144.130005,130.397781,22.353806,43.34,60.080002,54.68,13.4
2016-03-18,43.439999,38.07,11.62,269.429993,30.200001,20.49,2.93,145.509995,130.980576,22.556206,43.880001,61.220001,55.02,13.79
2016-03-21,43.470001,38.169998,11.54,274.329987,30.709999,20.73,2.8,147.009995,130.14801,22.241364,44.0,61.209999,55.049999,13.84
2016-03-22,42.759998,37.610001,11.54,277.220001,32.549999,20.780001,2.79,150.619995,132.34967,22.151407,44.73,60.610001,55.060001,13.76
2016-03-23,41.919998,36.599998,11.3,281.309998,30.959999,20.280001,2.68,148.759995,133.145233,20.959505,44.389999,60.630001,55.060001,13.62
2016-03-24,40.5,36.470001,11.57,279.320007,31.540001,20.15,2.79,149.240005,131.137833,21.521723,44.02,60.470001,54.459999,13.68
2016-03-28,40.91,36.349998,11.41,276.01001,30.209999,20.200001,2.78,148.369995,132.405182,21.814077,43.919998,60.279999,55.02,13.62
2016-03-29,41.349998,36.869999,11.65,273.519989,32.360001,20.59,2.86,149.490005,134.162811,21.859055,44.360001,60.599998,54.689999,13.42
2016-03-30,41.380001,36.619999,11.62,274.940002,32.209999,21.040001,2.86,149.479996,134.366333,21.769098,44.240002,60.290001,54.990002,13.48
2016-03-31,41.009998,36.310001,11.8,268.029999,34.189999,21.18,2.85,149.929993,133.256241,21.544212,44.299999,61.400002,55.459999,13.52
