Date,AAL,ADM,AES,AGN,ALKS,AMAT,AMD,AMGN,APD,ARNC,AVT,AXP,AXS,BAC
2016-01-04,40.199471,33.968369,8.775032,304.732666,74.830002,18.035641,2.77,151.097656,114.334923,21.469667,41.087551,65.25148,53.508415,15.993037
2016-01-05,39.816242,34.347485,8.896003,305.981445,75.269997,18.05517,2.75,150.935455,112.29055,20.49679,40.728333,64.247452,53.632858,15.993037
2016-01-06,40.513905,33.513439,8.588922,300.748474,75.050003,17.313044,2.51,149.551758,109.555847,19.037472,39.330261,62.463345,53.27869,15.652348
2016-01-07,39.747463,32.717308,8.374897,300.451111,72.040001,16.805271,2.28,145.982803,105.883041,18.2857,38.359379,61.900955,52.666073,15.087772
2016-01-08,39.66885,32.594093,8.495868,296.793976,71.239998,16.395151,2.14,143.816666,105.334335,17.843485,37.223461,61.697338,52.340618,14.795751
2016-01-11,40.36652,32.376102,8.402814,296.704773,68.650002,16.287739,2.34,140.934769,105.75029,17.688707,37.873947,62.104584,52.522491,14.902827
2016-01-12,41.270538,32.480358,8.14226,293.394531,68.0,16.356089,2.39,143.893005,107.272537,16.096737,37.941917,62.443951,52.541634,14.902827
2016-01-13,39.403534,31.722139,8.039902,284.771912,63.849998,15.819025,2.25,138.806778,104.918388,15.765072,37.252586,60.941029,52.082172,14.50373
2016-01-14,39.845722,31.617882,8.235315,296.457001,64.660004,16.414679,2.21,146.154617,104.767929,16.008291,37.776859,61.367664,52.618214,14.591336
2016-01-15,38.086807,29.864494,7.946847,292.611542,62.360001,15.701848,2.03,144.379669,104.272331,15.256512,37.213753,60.999207,51.881153,14.075431
2016-01-19,38.185081,28.916716,8.114346,289.19223,59.529999,16.063147,1.95,144.379669,105.838791,14.902736,36.922485,60.737408,51.04837,13.861282
2016-01-20,38.381603,29.655981,8.021289,290.332001,60.419998,15.985026,1.8,147.92952,104.042221,14.902736,36.89336,61.115559,50.387894,13.32591
2016-01-21,39.098927,30.25308,8.477257,293.156677,33.689999,16.414679,2.09,145.791977,103.697075,15.676617,36.679764,60.737408,50.234745,13.004685
2016-01-22,39.462498,31.494671,8.53309,295.386627,36.16,16.649036,2.02,148.94104,105.290092,15.190178,37.971035,53.387638,50.789928,13.199368
2016-01-25,38.204727,30.736444,8.132955,293.315247,35.939999,16.512327,2.12,146.412247,102.935951,15.035401,37.7089,53.348854,50.368748,12.615324
2016-01-26,38.951527,31.873783,8.412119,291.977234,34.759998,16.94198,2.07,146.746216,104.794479,15.78717,38.699196,53.416733,50.40704,12.956017
2016-01-27,39.000656,31.978039,8.44934,287.438019,32.369999,16.688093,2.13,143.587631,104.493568,15.389187,38.204044,52.864044,50.75164,13.004685
2016-01-28,37.477581,32.887905,8.523786,279.251587,30.639999,16.287739,2.08,141.56459,105.325493,15.477632,37.689476,51.273853,50.962231,13.170165
2016-01-29,38.312824,33.50396,8.947619,281.897797,32.009998,17.234924,2.2,145.744263,112.140099,16.118835,38.757442,51.875023,51.603561,13.763942
2016-02-01,38.696045,33.608215,8.909945,280.183197,32.75,17.234924,2.14,145.763306,116.166908,15.941946,39.320557,53.03857,51.689709,13.58873
2016-02-02,36.386856,30.670105,8.749829,277.190063,33.080002,16.649036,1.99,143.244095,115.768646,15.411286,38.301136,52.030163,51.498264,12.878142
2016-02-03,36.858521,31.693701,9.183084,275.91156,33.360001,16.883392,2.07,143.797562,118.043137,16.725729,38.359379,52.466492,50.512337,12.683462
2016-02-04,37.54636,32.461411,9.230175,270.024445,33.310001,17.166573,2.09,143.053223,120.503479,18.40938,39.262302,52.728291,50.5219,12.897613
2016-02-05,36.111725,32.290806,9.183084,271.362396,32.169998,16.414679,1.98,138.405975,120.007858,17.988464,38.951626,52.340443,50.253887,12.605591
2016-02-08,35.027874,31.561014,8.891108,263.929169,29.450001,15.809262,1.93,136.459305,115.715546,17.501095,38.223461,50.80843,49.938,11.943675
2016-02-09,35.658474,31.826399,8.957037,269.915405,29.059999,15.721376,1.9,136.611984,117.228928,17.301716,37.738018,51.031452,49.966724,11.875538
2016-02-10,36.57481,31.447285,8.975873,277.279236,29.83,15.613963,1.84,138.186493,115.450043,16.70359,38.048702,50.701775,50.761208,11.661387
2016-02-11,35.954079,30.251751,8.476691,272.105713,31.190001,15.272196,1.86,135.928406,112.582611,16.238369,37.106956,49.557617,49.976295,10.863195
2016-02-12,37.264534,31.03602,8.636806,277.982941,32.450001,15.682318,1.83,139.060928,115.361549,17.035875,37.864239,51.060535,50.062443,11.632184
2016-02-16,38.042934,32.155033,8.834596,281.917633,33.310001,16.326797,1.83,141.395889,116.246559,17.988464,38.854534,51.564743,50.550621,11.924208
2016-02-17,38.762215,31.944626,9.06064,280.678741,34.889999,16.736921,1.9,145.162628,117.273163,18.874598,39.582695,51.981682,51.000515,12.225964
2016-02-18,38.959278,32.42284,9.135989,275.505249,32.849998,16.766212,1.91,143.461838,116.087257,17.988464,40.15551,52.50528,51.469547,11.914473
2016-02-19,39.176041,31.227308,8.862852,273.295074,33.57,17.947758,1.91,144.249756,116.405853,17.434633,40.077843,53.048267,51.660995,11.807399
2016-02-22,40.240181,32.317631,9.220757,283.275421,34.009998,18.152821,2.01,142.750763,117.636024,19.738577,40.427357,53.940327,51.345116,12.206494
2016-02-23,39.786945,32.317631,9.022966,284.226868,34.099998,18.172453,1.97,141.501602,116.122665,18.896749,39.864254,53.436119,50.885647,11.836602
2016-02-24,40.062824,32.375011,9.446801,282.165405,34.07,18.349174,2.02,141.357483,116.423561,19.406277,40.019588,52.980392,51.354687,11.807399
2016-02-25,40.752544,33.111462,9.390291,293.701752,33.970001,18.545527,2.03,141.011551,117.697975,19.649961,40.077843,53.707619,51.526985,11.992347
2016-02-26,40.269737,33.274055,9.296104,295.416351,33.610001,18.653519,2.07,141.828323,118.273239,19.649961,40.399551,53.697918,51.603561,12.362239
2016-02-29,40.397831,33.436646,9.230175,287.527191,32.27,18.525892,2.14,136.716354,117.23777,19.782881,40.116833,53.89185,51.412121,12.187027
2016-03-01,41.215641,33.933994,9.531568,293.275604,34.41,19.016773,2.18,142.587418,118.937012,20.181643,40.750515,55.074791,52.493774,12.839206
2016-03-02,40.979172,34.268742,9.682266,289.876099,35.189999,19.134584,2.32,141.722626,118.786552,21.31146,40.886997,55.385071,53.125534,13.103025
2016-03-03,41.264908,35.22517,9.84238,287.041595,32.91,19.095314,2.46,140.137115,119.370651,20.979158,41.462185,56.325607,52.694794,13.190966
2016-03-04,41.018581,36.00943,10.162612,286.100037,32.580002,19.036407,2.37,140.271667,119.291008,21.200693,41.735157,56.519535,52.694794,13.230051
2016-03-07,41.511234,35.521656,10.256797,285.82254,33.93,19.085495,2.47,141.549652,119.476852,22.241896,42.037376,57.20797,52.704365,13.22028
2016-03-08,40.171211,34.46003,10.002496,281.897797,32.41,18.437532,2.3,138.974457,118.786552,20.669012,41.423195,57.624905,52.110882,12.761041
2016-03-09,41.038288,34.48872,9.889473,287.398376,31.780001,18.820421,2.26,135.390289,119.193657,20.868391,41.676659,57.256451,51.967308,12.839207
2016-03-10,41.018581,34.211349,10.181448,286.674866,31.540001,19.213123,2.26,135.515228,119.122856,21.244999,41.364704,56.965561,52.158749,12.966232
2016-03-11,41.846245,35.005184,10.275633,296.318268,32.91,19.674557,2.52,138.916794,120.777832,21.089926,42.320091,57.653992,52.474625,13.474329
2016-03-14,41.964481,35.110394,10.322727,290.411285,32.290001,19.546925,2.72,138.964813,120.58313,21.422226,41.920391,57.760651,52.331043,13.327763
2016-03-15,41.491531,34.96693,10.332146,280.480499,30.360001,19.537107,2.49,137.60997,118.636108,20.292408,41.627922,57.430984,51.900303,13.259365
2016-03-16,41.688595,35.827713,10.727723,270.331696,29.049999,19.684372,2.63,138.349838,120.414978,21.577297,42.115364,57.886703,52.369335,13.005316
2016-03-17,41.481674,36.535473,10.859583,270.272247,29.99,19.910179,2.8,138.494003,124.751541,22.020361,42.251854,58.255165,52.340618,13.093257
2016-03-18,42.801994,36.411133,10.94435,267.031281,30.200001,20.116352,2.93,139.820023,125.309097,22.219746,42.778294,59.360538,52.666073,13.474329
2016-03-21,42.831554,36.506775,10.869001,271.887665,30.709999,20.351971,2.8,141.261368,124.512581,21.909597,42.895275,59.350842,52.694794,13.523183
2016-03-22,42.131981,35.97118,10.869001,274.751984,32.549999,20.40106,2.79,144.730209,126.618927,21.820984,43.606956,58.769062,52.704365,13.445016
2016-03-23,41.304314,35.005184,10.642957,278.805542,30.959999,19.910179,2.68,142.942947,127.380005,20.646864,43.275482,58.788452,52.704365,13.308221
2016-03-24,39.905178,34.880856,10.897258,276.833282,31.540001,19.782551,2.79,143.404205,125.459557,21.200693,42.91478,58.633316,52.130028,13.366846
2016-03-28,40.309151,34.766079,10.746561,273.552765,30.209999,19.831638,2.78,142.568192,126.67202,21.488684,42.817287,58.449089,52.666073,13.308221
2016-03-29,40.742691,35.263424,10.972606,271.08493,32.360001,20.214525,2.86,143.644409,128.353531,21.532991,43.246243,58.759369,52.685337,13.112799
2016-03-30,40.772251,35.024315,10.94435,272.492279,32.209999,20.656321,2.86,143.634811,129.315063,21.44438,43.129253,58.458786,52.974346,13.171423
2016-03-31,40.407681,34.727825,11.113885,265.643768,34.189999,20.793768,2.85,144.067184,128.246704,21.222847,43.187748,59.535072,53.427113,13.210509
