Date,AAPL,AMZN,IBM,JPM,MSFT,PCLN
2016-01-04,101.790649,636.98999,127.330009,60.824501,52.433533,1245.369995
2016-01-05,99.239845,633.789978,127.236343,60.929668,52.672737,1210.689941
2016-01-06,97.29776,632.650024,126.599449,60.050102,51.715916,1196.709961
2016-01-07,93.191338,607.940002,124.435936,57.621708,49.917099,1167.189941
2016-01-08,93.68412,607.049988,123.28392,56.331024,50.070198,1136.959961
2016-01-11,95.201073,617.73999,124.78244,56.244976,50.041489,1136.280029
2016-01-12,96.582756,617.890015,124.473381,56.369267,50.500759,1148.920044
2016-01-13,94.099594,581.809998,122.853073,54.820446,49.409988,1098.900024
2016-01-14,96.157608,593.0,124.482773,55.642662,50.816513,1121.380005
2016-01-15,93.848373,570.179993,121.785355,54.53363,48.788059,1086.73999
2016-01-19,93.394257,574.47998,119.987099,54.504955,48.376629,1094.5
2016-01-20,93.519867,571.77002,114.133385,53.070862,48.596699,1081.329956
2016-01-21,93.046417,575.02002,115.116821,52.822281,48.300083,1089.140015
2016-01-22,97.993423,596.380005,114.732803,54.447586,50.031921,1118.109985
2016-01-25,96.080322,596.530029,114.339447,53.214275,49.553509,1097.930054
2016-01-26,96.61174,601.25,114.817101,54.571877,49.917099,1111.540039
2016-01-27,90.263725,583.349976,113.290436,54.53363,49.008129,1043.699951
2016-01-28,90.911087,635.349976,114.470558,54.763092,49.811855,1043.130005
2016-01-29,94.05127,587.0,116.877609,56.88554,52.711006,1064.969971
2016-02-01,93.172028,574.809998,116.915077,56.273663,52.347412,1084.869995
2016-02-02,91.28791,552.099976,115.144913,54.524071,50.711258,1066.790039
2016-02-03,93.094734,531.070007,116.812042,54.887371,49.907536,1049.160034
2016-02-04,93.842743,536.26001,119.556267,55.833878,49.754448,1069.099976
2016-02-05,91.336388,502.130005,120.417961,55.212437,47.993904,1015.549988
2016-02-08,92.298134,488.100006,120.143555,54.055603,47.276287,973.799988
2016-02-09,92.278694,482.070007,117.390221,53.730545,47.151901,991.289978
2016-02-10,91.579254,490.480011,113.719124,53.080421,47.563332,1032.77002
2016-02-11,91.025528,503.820007,111.505096,50.738071,47.544201,1055.23999
2016-02-12,91.307251,507.079987,114.523361,54.963863,48.319218,1058.01001
2016-02-16,93.881607,521.099976,116.131813,55.786068,49.234718,1110.680054
2016-02-17,95.319359,534.099976,119.310921,56.187618,50.516418,1235.560059
2016-02-18,93.512459,525.0,125.319031,55.269802,50.294781,1251.949951
2016-02-19,93.298737,534.900024,125.915138,55.279354,49.938213,1283.73999
2016-02-22,94.114754,559.5,126.567993,55.996403,50.738071,1288.420044
2016-02-23,91.987267,552.940002,125.271721,53.654057,49.321453,1261.890015
2016-02-24,93.357018,554.039978,125.650223,53.673176,49.494919,1264.209961
2016-02-25,93.998184,555.150024,127.258675,54.504955,50.208042,1263.410034
2016-02-26,94.143906,555.22998,124.921661,55.011662,49.437096,1254.27002
2016-02-29,93.930183,552.52002,123.975479,53.826153,49.032349,1265.209961
2016-03-01,97.660561,579.039978,127.135666,56.598717,50.670616,1295.920044
2016-03-02,97.874298,580.210022,128.961761,57.134117,51.027176,1301.369995
2016-03-03,98.602882,577.48999,130.381027,57.325321,50.448967,1303.040039
2016-03-04,100.069786,575.140015,130.381027,57.411369,50.140583,1297.709961
2016-03-07,98.962318,562.799988,132.604477,57.306206,49.176895,1291.430054
2016-03-08,98.146294,560.26001,131.582657,56.197182,49.774391,1282.77002
2016-03-09,98.233734,559.469971,132.850494,56.522236,50.921169,1291.890015
2016-03-10,98.282295,558.929993,132.642334,56.034649,50.159859,1293.77002
2016-03-11,99.341187,569.609985,134.695511,56.732567,51.142818,1326.869995
2016-03-14,99.593773,573.369995,135.09288,56.522236,51.239185,1325.72998
2016-03-15,101.594978,577.02002,135.263199,56.598717,51.643936,1332.130005
2016-03-16,102.945305,574.27002,136.994675,56.331024,52.376339,1350.98999
2016-03-17,102.780144,559.440002,139.123535,56.168491,52.675079,1346.859985
2016-03-18,102.896729,552.080017,139.170822,57.822479,51.547573,1344.219971
2016-03-21,102.887009,553.97998,140.62793,57.803356,51.904137,1350.51001
2016-03-22,103.673882,560.47998,140.126495,57.593025,52.106506,1319.410034
2016-03-23,103.100731,569.630005,137.571854,57.306206,52.010139,1306.109985
2016-03-24,102.653854,582.950012,139.984543,56.866417,52.241425,1301.189941
2016-03-28,102.187561,579.869995,140.410309,56.789932,51.595753,1287.030029
2016-03-29,104.606491,593.859985,141.290237,56.436192,52.723263,1307.890015
2016-03-30,106.432831,598.690002,140.419785,57.086315,53.050919,1317.030029
2016-03-31,105.879097,593.640015,143.296097,56.617844,53.224377,1288.959961
