Date,AAPL,BAC,GOOG,MS,MSFT,PCLN
2016-01-04,105.349998,16.43,741.840027,31.48,54.799999,1245.369995
2016-01-05,102.709999,16.43,742.580017,31.280001,55.049999,1210.689941
2016-01-06,100.699997,16.08,743.619995,30.5,54.049999,1196.709961
2016-01-07,96.449997,15.5,726.390015,28.98,52.169998,1167.189941
2016-01-08,96.959999,15.2,714.469971,28.379999,52.330002,1136.959961
2016-01-11,98.529999,15.31,716.030029,28.459999,52.299999,1136.280029
2016-01-12,99.959999,15.31,726.070007,28.459999,52.779999,1148.920044
2016-01-13,97.389999,14.9,700.559998,26.889999,51.639999,1098.900024
2016-01-14,99.519997,14.99,714.719971,27.15,53.110001,1121.380005
2016-01-15,97.129997,14.46,694.450012,25.969999,50.990002,1086.73999
2016-01-19,96.660004,14.24,701.789978,26.26,50.560001,1094.5
2016-01-20,96.790001,13.69,698.450012,25.24,50.790001,1081.329956
2016-01-21,96.300003,13.36,706.590027,24.780001,50.48,1089.140015
2016-01-22,101.419998,13.56,725.25,25.610001,52.290001,1118.109985
2016-01-25,99.440002,12.96,711.669983,24.98,51.790001,1097.930054
2016-01-26,99.989998,13.31,713.039978,25.49,52.169998,1111.540039
2016-01-27,93.419998,13.36,699.98999,25.370001,51.220001,1043.699951
2016-01-28,94.089996,13.53,730.960022,25.17,52.060001,1043.130005
2016-01-29,97.339996,14.14,742.950012,25.879999,55.09,1064.969971
2016-02-01,96.43,13.96,752.0,25.709999,54.709999,1084.869995
2016-02-02,94.480003,13.23,764.650024,24.5,53.0,1066.790039
2016-02-03,96.349998,13.03,726.950012,24.32,52.16,1049.160034
2016-02-04,96.599998,13.25,708.01001,25.01,52.0,1069.099976
2016-02-05,94.019997,12.95,683.570007,24.35,50.16,1015.549988
2016-02-08,95.010002,12.27,682.73999,22.67,49.41,973.799988
2016-02-09,94.989998,12.2,678.109985,22.93,49.279999,991.289978
2016-02-10,94.269997,11.98,684.119995,22.700001,49.709999,1032.77002
2016-02-11,93.699997,11.16,683.109985,21.690001,49.689999,1055.23999
2016-02-12,93.989998,11.95,682.400024,23.09,50.5,1058.01001
2016-02-16,96.639999,12.25,691.0,23.719999,51.09,1110.680054
2016-02-17,98.120003,12.56,708.400024,24.23,52.419998,1235.560059
2016-02-18,96.260002,12.24,697.349976,23.959999,52.189999,1251.949951
2016-02-19,96.040001,12.13,700.909973,24.0,51.82,1283.73999
2016-02-22,96.879997,12.54,706.460022,24.540001,52.650002,1288.420044
2016-02-23,94.690002,12.16,695.849976,23.709999,51.18,1261.890015
2016-02-24,96.099998,12.13,699.559998,23.709999,51.360001,1264.209961
2016-02-25,96.760002,12.32,705.75,24.629999,52.099998,1263.410034
2016-02-26,96.910004,12.7,705.070007,25.16,51.299999,1254.27002
2016-02-29,96.690002,12.52,697.77002,24.700001,50.880001,1265.209961
2016-03-01,100.529999,13.19,718.809998,26.09,52.580002,1295.920044
2016-03-02,100.75,13.41,718.849976,26.110001,52.950001,1301.369995
2016-03-03,101.5,13.5,712.419983,26.139999,52.349998,1303.040039
2016-03-04,103.010002,13.54,710.890015,26.129999,52.029999,1297.709961
2016-03-07,101.870003,13.53,695.159973,26.09,51.029999,1291.430054
2016-03-08,101.029999,13.06,693.969971,25.01,51.650002,1282.77002
2016-03-09,101.120003,13.14,705.23999,24.610001,52.84,1291.890015
2016-03-10,101.169998,13.27,712.820007,24.65,52.049999,1293.77002
2016-03-11,102.260002,13.79,726.820007,26.0,53.07,1326.869995
2016-03-14,102.519997,13.64,730.48999,25.91,53.169998,1325.72998
2016-03-15,104.580002,13.57,728.330017,25.43,53.59,1332.130005
2016-03-16,105.970001,13.31,736.090027,25.16,54.349998,1350.98999
2016-03-17,105.800003,13.4,737.780029,25.85,54.66,1346.859985
2016-03-18,105.919998,13.79,737.599976,26.280001,53.490002,1344.219971
2016-03-21,105.910004,13.84,742.090027,25.940001,53.860001,1350.51001
2016-03-22,106.720001,13.76,740.75,25.84,54.07,1319.410034
2016-03-23,106.129997,13.62,738.059998,25.27,53.970001,1306.109985
2016-03-24,105.669998,13.68,735.299988,24.93,54.209999,1301.189941
2016-03-28,105.190002,13.62,733.530029,24.719999,53.540001,1287.030029
2016-03-29,107.68,13.42,744.77002,24.780001,54.709999,1307.890015
2016-03-30,109.559998,13.48,750.530029,25.07,55.049999,1317.030029
2016-03-31,108.989998,13.52,744.950012,25.01,55.23,1288.959961
