Date,AAPL,BAC,GOOG,MS,MSFT,PCLN
2016-01-04,101.790649,15.993037,741.840027,30.28862,52.433533,1245.369995
2016-01-05,99.239845,15.993037,742.580017,30.096193,52.672737,1210.689941
2016-01-06,97.29776,15.652348,743.619995,29.345711,51.715916,1196.709961
2016-01-07,93.191338,15.087772,726.390015,27.883236,49.917099,1167.189941
2016-01-08,93.68412,14.795751,714.469971,27.305943,50.070198,1136.959961
2016-01-11,95.201073,14.902827,716.030029,27.382912,50.041489,1136.280029
2016-01-12,96.582756,14.902827,726.070007,27.382912,50.500759,1148.920044
2016-01-13,94.099594,14.50373,700.559998,25.872334,49.409988,1098.900024
2016-01-14,96.157608,14.591336,714.719971,26.122492,50.816513,1121.380005
2016-01-15,93.848373,14.075431,694.450012,24.98715,48.788059,1086.73999
2016-01-19,93.394257,13.861282,701.789978,25.266172,48.376629,1094.5
2016-01-20,93.519867,13.32591,698.450012,24.284777,48.596699,1081.329956
2016-01-21,93.046417,13.004685,706.590027,23.84219,48.300083,1089.140015
2016-01-22,97.993423,13.199368,725.25,24.640779,50.031921,1118.109985
2016-01-25,96.080322,12.615324,711.669983,24.034618,49.553509,1097.930054
2016-01-26,96.61174,12.956017,713.039978,24.525314,49.917099,1111.540039
2016-01-27,90.263725,13.004685,699.98999,24.554354,49.008129,1043.699951
2016-01-28,90.911087,13.170165,730.960022,24.360783,49.811855,1043.130005
2016-01-29,94.05127,13.763942,742.950012,25.047955,52.711006,1064.969971
2016-02-01,93.172028,13.58873,752.0,24.883421,52.347412,1084.869995
2016-02-02,91.28791,12.878142,764.650024,23.71232,50.711258,1066.790039
2016-02-03,93.094734,12.683462,726.950012,23.538109,49.907536,1049.160034
2016-02-04,93.842743,12.897613,708.01001,24.205925,49.754448,1069.099976
2016-02-05,91.336388,12.605591,683.570007,23.567144,47.993904,1015.549988
2016-02-08,92.298134,11.943675,682.73999,21.941154,47.276287,973.799988
2016-02-09,92.278694,11.875538,678.109985,22.192799,47.151901,991.289978
2016-02-10,91.579254,11.661387,684.119995,21.970192,47.563332,1032.77002
2016-02-11,91.025528,10.863195,683.109985,20.992664,47.544201,1055.23999
2016-02-12,91.307251,11.632184,682.400024,22.347652,48.319218,1058.01001
2016-02-16,93.881607,11.924208,691.0,22.957399,49.234718,1110.680054
2016-02-17,95.319359,12.225964,708.400024,23.451004,50.516418,1235.560059
2016-02-18,93.512459,11.914473,697.349976,23.189684,50.294781,1251.949951
2016-02-19,93.298737,11.807399,700.909973,23.228395,49.938213,1283.73999
2016-02-22,94.114754,12.206494,706.460022,23.751038,50.738071,1288.420044
2016-02-23,91.987267,11.836602,695.849976,22.947718,49.321453,1261.890015
2016-02-24,93.357018,11.807399,699.559998,22.947718,49.494919,1264.209961
2016-02-25,93.998184,11.992347,705.75,23.838142,50.208042,1263.410034
2016-02-26,94.143906,12.362239,705.070007,24.351103,49.437096,1254.27002
2016-02-29,93.930183,12.187027,697.77002,23.905893,49.032349,1265.209961
2016-03-01,97.660561,12.839206,718.809998,25.251205,50.670616,1295.920044
2016-03-02,97.874298,13.103025,718.849976,25.270561,51.027176,1301.369995
2016-03-03,98.602882,13.190966,712.419983,25.299597,50.448967,1303.040039
2016-03-04,100.069786,13.230051,710.890015,25.289917,50.140583,1297.709961
2016-03-07,98.962318,13.22028,695.159973,25.251205,49.176895,1291.430054
2016-03-08,98.146294,12.761041,693.969971,24.205925,49.774391,1282.77002
2016-03-09,98.233734,12.839207,705.23999,23.818785,50.921169,1291.890015
2016-03-10,98.282295,12.966232,712.820007,23.8575,50.159859,1293.77002
2016-03-11,99.341187,13.474329,726.820007,25.164097,51.142818,1326.869995
2016-03-14,99.593773,13.327763,730.48999,25.076992,51.239185,1325.72998
2016-03-15,101.594978,13.259365,728.330017,24.612421,51.643936,1332.130005
2016-03-16,102.945305,13.005316,736.090027,24.351103,52.376339,1350.98999
2016-03-17,102.780144,13.093257,737.780029,25.018921,52.675079,1346.859985
2016-03-18,102.896729,13.474329,737.599976,25.435097,51.547573,1344.219971
2016-03-21,102.887009,13.523183,742.090027,25.106026,51.904137,1350.51001
2016-03-22,103.673882,13.445016,740.75,25.009241,52.106506,1319.410034
2016-03-23,103.100731,13.308221,738.059998,24.457565,52.010139,1306.109985
2016-03-24,102.653854,13.366846,735.299988,24.1285,52.241425,1301.189941
2016-03-28,102.187561,13.308221,733.530029,23.925247,51.595753,1287.030029
2016-03-29,104.606491,13.112799,744.77002,23.98332,52.723263,1307.890015
2016-03-30,106.432831,13.171423,750.530029,24.263996,53.050919,1317.030029
2016-03-31,105.879097,13.210509,744.950012,24.205925,53.224377,1288.959961
