Date,AAPL,AMZN,BAC,C,CRM,GOOG,JPM,MS,MSFT,PCLN
2015-01-02,103.86647,308.519989,17.21365,53.064545,59.240002,521.937744,58.151787,36.674358,43.555,1142.060059
2015-01-05,100.940392,302.190002,16.713585,51.392216,58.169998,511.057617,56.346466,35.527985,43.154472,1097.579956
2015-01-06,100.94989,295.290009,16.213526,49.582977,57.200001,499.212799,54.885452,34.50478,42.521076,1079.959961
2015-01-07,102.36544,298.420013,16.290461,50.042618,56.93,498.357513,54.969208,34.997433,43.061325,1069.569946
2015-01-08,106.298531,300.459991,16.627039,50.795658,58.59,499.928864,56.197571,35.518501,44.328106,1082.849976
2015-01-09,106.412552,296.929993,16.328924,49.661209,58.16,493.454498,55.220459,34.940586,43.955528,1051.959961
2015-01-12,103.790474,291.410004,16.040428,49.270031,57.73,489.854309,54.745872,34.457401,43.40596,1039.97998
2015-01-13,104.711998,294.73999,15.819246,48.917961,57.970001,493.464447,54.755173,34.135284,43.182419,1037.819946
2015-01-14,104.312988,293.269989,15.424968,47.96933,57.25,498.128784,52.866104,33.35841,42.80983,1035.670044
2015-01-15,101.481903,286.950012,14.617176,46.189426,55.110001,499.043732,51.172447,32.761539,42.362728,998.25
2015-01-16,100.693382,290.73999,14.790275,46.561054,56.639999,505.299316,52.047195,33.055229,43.070637,1008.219971
2015-01-20,103.286957,289.440002,14.674876,46.218761,57.290001,504.125763,51.842472,32.922596,43.210358,1024.949951
2015-01-21,104.075485,297.25,14.819122,46.688194,57.709999,515.204773,52.009972,32.903645,42.772564,1045.530029
2015-01-22,106.783058,310.320007,15.473051,48.477879,58.0,531.465332,53.591953,33.661579,43.899639,1049.680054
2015-01-23,107.334084,312.390015,15.126853,47.548798,58.619999,536.994873,52.745129,33.301559,43.946213,1037.98999
2015-01-26,107.448074,309.660004,15.242251,47.812855,59.779999,532.280823,52.828876,33.263664,43.787861,1041.859985
2015-01-27,103.685966,306.75,15.030689,47.24564,57.790001,515.791565,52.298454,32.83733,39.736023,1013.859985
2015-01-28,109.547638,303.910004,14.617176,46.072075,56.349998,507.208801,50.949116,32.086704,38.366768,1003.25
2015-01-29,112.958244,311.779999,14.838358,46.580723,58.099998,507.865204,51.805248,32.656803,39.130566,1014.73999
2015-01-30,111.305183,354.529999,14.569091,45.925343,56.450001,531.594604,50.604801,32.12471,37.63092,1009.47998
2015-02-02,112.701721,364.470001,14.867206,46.678543,57.279999,525.587646,51.619129,32.704304,38.450603,1013.030029
2015-02-03,112.720718,363.549988,15.280721,47.813229,58.610001,526.343506,52.782352,33.293404,38.748669,1037.550049
2015-02-04,113.585258,364.75,15.184553,47.3437,58.990002,519.898987,52.46595,33.036858,38.972233,1028.280029
2015-02-05,114.395966,373.890015,15.357653,47.480633,59.259998,524.692566,52.828876,33.188885,39.540409,1044.599976
2015-02-06,113.43264,374.279999,15.857716,48.067554,59.169998,528.093872,53.87112,34.006027,39.503155,1022.419983
2015-02-09,114.186127,370.559998,15.723083,48.136024,57.98,524.941223,53.805988,33.853992,39.456585,1033.150024
2015-02-10,116.379814,373.0,15.790398,48.312096,58.790001,534.001343,54.401546,34.357574,39.680126,1057.619995
2015-02-11,119.107613,375.140015,15.732697,48.59576,58.799999,533.036682,54.317806,34.557106,39.475208,1060.060059
2015-02-12,120.614594,377.170013,16.030811,49.779358,61.259998,539.958557,55.434494,35.060688,40.136551,1091.949951
2015-02-13,121.205933,381.829987,15.973111,50.082584,62.849998,546.00531,55.527554,34.946667,40.863087,1103.369995
2015-02-17,121.921249,375.429993,15.992346,50.56189,62.07,539.86908,55.927696,35.079689,40.881844,1120.98999
2015-02-18,122.770134,373.369995,15.674998,50.297787,63.0,536.746277,55.248386,34.557106,40.834942,1122.98999
2015-02-19,122.512596,379.0,15.588448,50.004337,62.810001,539.901306,55.118099,34.519104,40.806797,1218.050049
2015-02-20,123.514084,383.660004,15.751932,50.649929,63.740002,536.000366,55.648529,34.908665,41.144508,1216.22998
2015-02-23,126.85228,380.140015,15.578835,50.199982,62.580002,528.998901,55.229767,34.462093,41.416557,1207.579956
2015-02-24,126.060654,378.589996,15.751932,50.767319,61.93,533.156006,56.597725,34.908665,41.360271,1219.790039
2015-02-25,122.836899,385.369995,15.857716,50.953167,62.869999,540.893433,56.895504,34.766148,41.266464,1250.859985
2015-02-26,124.391541,384.799988,15.424968,51.266182,70.239998,552.43988,57.304955,34.262562,41.33213,1241.25
2015-02-27,122.522156,380.160004,15.203788,51.275963,69.379997,555.343933,57.025784,34.006027,41.135124,1237.47998
2015-03-02,123.123016,385.660004,15.396117,52.322613,68.459999,568.213074,57.48177,34.43359,41.163273,1249.400024
2015-03-03,123.380539,384.609985,15.424968,52.557381,66.949997,570.500488,57.667885,34.034523,40.600418,1242.030029
2015-03-04,122.598434,382.720001,15.280269,52.498676,64.879997,570.231995,57.81678,33.340904,40.394043,1225.670044
2015-03-05,120.56691,387.829987,15.434614,52.391087,65.589996,572.181274,57.695801,33.749477,40.440945,1231.900024
2015-03-06,120.748108,380.089996,15.646836,51.902004,64.559998,564.578125,56.662857,33.75898,39.737381,1215.98999
2015-03-09,121.263153,378.559998,15.598606,51.794395,65.480003,565.736694,57.230503,33.891994,40.197037,1217.0
2015-03-10,118.754723,369.51001,15.232034,50.111935,63.759998,551.972473,55.797421,33.141384,39.427807,1191.089966
2015-03-11,116.589638,366.369995,15.540729,51.187931,63.68,548.163452,56.057983,33.207893,39.380898,1177.550049
2015-03-12,118.697479,374.23999,15.521433,52.899738,64.949997,552.469727,57.109531,35.241219,38.480343,1186.599976
2015-03-13,117.877243,370.579987,15.521433,52.371521,64.599998,544.324585,56.765224,34.538101,38.81805,1157.77002
2015-03-16,119.174377,373.350006,15.560019,52.518246,66.43,551.47522,57.556217,34.899162,38.986904,1158.439941
2015-03-17,121.16777,371.920013,15.521433,52.664963,67.550003,547.825317,57.332874,34.72813,39.11824,1153.569946
2015-03-18,122.531677,375.140015,15.41532,52.547588,68.550003,556.437866,57.463158,34.899162,39.86871,1181.689941
2015-03-19,121.606522,373.23999,15.058394,51.236839,68.879997,554.936157,56.951332,34.310066,39.671715,1176.319946
2015-03-20,120.080482,378.48999,15.280269,51.823746,67.690002,557.293213,57.463158,34.680626,40.225189,1179.170044
2015-03-23,121.329918,375.109985,15.164508,51.33466,67.660004,555.751648,56.895504,34.500103,40.206421,1181.180054
2015-03-24,120.833961,374.089996,15.058394,50.806438,67.370003,567.069397,56.262707,34.43359,40.24395,1169.719971
2015-03-25,117.676964,370.959991,14.865461,50.258659,65.779999,555.726807,55.471722,33.682964,38.893097,1152.699951
2015-03-26,118.497215,367.350006,14.87511,50.072803,65.989998,552.131592,55.406574,33.844494,38.658577,1140.359985
2015-03-27,117.552971,370.559998,14.768997,49.886955,66.550003,545.338989,55.415882,34.044029,38.433437,1135.189941
2015-03-30,120.528755,374.589996,14.971576,50.512981,66.849998,549.008789,56.727997,34.500103,38.424053,1149.829956
2015-03-31,118.678413,372.100006,14.84617,50.395603,66.809998,545.000854,56.374386,33.911003,38.142635,1164.150024
2015-04-01,118.506744,370.26001,14.865461,50.493423,66.080002,539.590576,56.15892,34.177048,38.198917,1149.599976
2015-04-02,119.527283,372.25,14.990869,50.728191,66.68,532.59906,56.692883,34.262562,37.795536,1160.439941
2015-04-06,121.46344,377.040009,14.961928,50.493423,67.940002,533.827332,56.646046,34.120037,38.977528,1185.01001
2015-04-07,120.185402,374.410004,14.913694,50.395603,68.199997,534.080933,57.002007,34.148537,38.958767,1184.97998
2015-04-08,119.794342,381.200012,15.058394,50.757526,68.209999,538.645813,57.189365,34.452591,38.855576,1192.25
2015-04-09,120.709961,383.540009,15.15486,50.99229,67.739998,537.820374,57.582806,34.813652,38.911869,1186.0
2015-04-10,121.225006,382.649994,15.164508,51.285744,67.639999,537.054565,57.79826,34.43359,39.137005,1189.5
2015-04-13,120.986565,382.359985,15.241682,51.510727,67.080002,536.219177,58.144855,34.490601,39.174526,1199.75
2015-04-14,120.46199,385.109985,15.260974,51.579201,66.910004,527.487183,59.053528,35.003677,39.071331,1204.709961
2015-04-15,120.919792,383.450012,15.087336,52.048721,67.209999,529.617859,60.149532,35.526268,39.643566,1200.949951
2015-04-16,120.33799,386.040009,15.232034,52.841042,67.910004,530.87854,59.774826,35.497757,39.549763,1206.089966
2015-04-17,118.983627,375.559998,15.010162,51.911781,65.809998,521.181885,58.866165,34.918171,39.043194,1187.530029
2015-04-20,121.701889,389.51001,15.019809,52.038944,66.900002,532.44989,59.240871,35.117699,40.253326,1191.420044
2015-04-21,121.0438,391.179993,14.952284,51.33466,67.379997,531.049988,58.36969,34.918171,40.000038,1194.26001
2015-04-22,122.674751,389.799988,15.1838,51.941116,67.709999,536.413086,58.959843,35.345734,40.328373,1212.900024
2015-04-23,123.676208,389.98999,15.135567,52.058506,68.470001,544.006287,58.82869,35.516762,40.656704,1221.099976
