Date,AAPL,AMZN,JPM,MSFT
2015-01-02,103.86647,308.519989,58.151787,43.555
2015-01-05,100.940392,302.190002,56.346466,43.154472
2015-01-06,100.94989,295.290009,54.885452,42.521076
2015-01-07,102.36544,298.420013,54.969208,43.061325
2015-01-08,106.298531,300.459991,56.197571,44.328106
2015-01-09,106.412552,296.929993,55.220459,43.955528
2015-01-12,103.790474,291.410004,54.745872,43.40596
2015-01-13,104.711998,294.73999,54.755173,43.182419
2015-01-14,104.312988,293.269989,52.866104,42.80983
2015-01-15,101.481903,286.950012,51.172447,42.362728
2015-01-16,100.693382,290.73999,52.047195,43.070637
2015-01-20,103.286957,289.440002,51.842472,43.210358
2015-01-21,104.075485,297.25,52.009972,42.772564
2015-01-22,106.783058,310.320007,53.591953,43.899639
2015-01-23,107.334084,312.390015,52.745129,43.946213
2015-01-26,107.448074,309.660004,52.828876,43.787861
2015-01-27,103.685966,306.75,52.298454,39.736023
2015-01-28,109.547638,303.910004,50.949116,38.366768
2015-01-29,112.958244,311.779999,51.805248,39.130566
2015-01-30,111.305183,354.529999,50.604801,37.63092
2015-02-02,112.701721,364.470001,51.619129,38.450603
2015-02-03,112.720718,363.549988,52.782352,38.748669
2015-02-04,113.585258,364.75,52.46595,38.972233
2015-02-05,114.395966,373.890015,52.828876,39.540409
2015-02-06,113.43264,374.279999,53.87112,39.503155
2015-02-09,114.186127,370.559998,53.805988,39.456585
2015-02-10,116.379814,373.0,54.401546,39.680126
2015-02-11,119.107613,375.140015,54.317806,39.475208
2015-02-12,120.614594,377.170013,55.434494,40.136551
2015-02-13,121.205933,381.829987,55.527554,40.863087
2015-02-17,121.921249,375.429993,55.927696,40.881844
2015-02-18,122.770134,373.369995,55.248386,40.834942
2015-02-19,122.512596,379.0,55.118099,40.806797
2015-02-20,123.514084,383.660004,55.648529,41.144508
2015-02-23,126.85228,380.140015,55.229767,41.416557
2015-02-24,126.060654,378.589996,56.597725,41.360271
2015-02-25,122.836899,385.369995,56.895504,41.266464
2015-02-26,124.391541,384.799988,57.304955,41.33213
2015-02-27,122.522156,380.160004,57.025784,41.135124
2015-03-02,123.123016,385.660004,57.48177,41.163273
2015-03-03,123.380539,384.609985,57.667885,40.600418
2015-03-04,122.598434,382.720001,57.81678,40.394043
2015-03-05,120.56691,387.829987,57.695801,40.440945
2015-03-06,120.748108,380.089996,56.662857,39.737381
2015-03-09,121.263153,378.559998,57.230503,40.197037
2015-03-10,118.754723,369.51001,55.797421,39.427807
2015-03-11,116.589638,366.369995,56.057983,39.380898
2015-03-12,118.697479,374.23999,57.109531,38.480343
2015-03-13,117.877243,370.579987,56.765224,38.81805
2015-03-16,119.174377,373.350006,57.556217,38.986904
2015-03-17,121.16777,371.920013,57.332874,39.11824
2015-03-18,122.531677,375.140015,57.463158,39.86871
2015-03-19,121.606522,373.23999,56.951332,39.671715
2015-03-20,120.080482,378.48999,57.463158,40.225189
2015-03-23,121.329918,375.109985,56.895504,40.206421
2015-03-24,120.833961,374.089996,56.262707,40.24395
2015-03-25,117.676964,370.959991,55.471722,38.893097
2015-03-26,118.497215,367.350006,55.406574,38.658577
2015-03-27,117.552971,370.559998,55.415882,38.433437
2015-03-30,120.528755,374.589996,56.727997,38.424053
2015-03-31,118.678413,372.100006,56.374386,38.142635
2015-04-01,118.506744,370.26001,56.15892,38.198917
2015-04-02,119.527283,372.25,56.692883,37.795536
2015-04-06,121.46344,377.040009,56.646046,38.977528
2015-04-07,120.185402,374.410004,57.002007,38.958767
2015-04-08,119.794342,381.200012,57.189365,38.855576
2015-04-09,120.709961,383.540009,57.582806,38.911869
2015-04-10,121.225006,382.649994,57.79826,39.137005
