Date,AAPL,AMZN,JPM,MSFT
2015-01-02,109.330002,308.519989,62.490002,46.759998
2015-01-05,106.25,302.190002,60.549999,46.330002
2015-01-06,106.260002,295.290009,58.98,45.650002
2015-01-07,107.75,298.420013,59.07,46.23
2015-01-08,111.889999,300.459991,60.389999,47.59
2015-01-09,112.010002,296.929993,59.34,47.189999
2015-01-12,109.25,291.410004,58.830002,46.599998
2015-01-13,110.220001,294.73999,58.84,46.360001
2015-01-14,109.800003,293.269989,56.810001,45.959999
2015-01-15,106.82,286.950012,54.990002,45.48
2015-01-16,105.989998,290.73999,55.93,46.240002
2015-01-20,108.720001,289.440002,55.709999,46.389999
2015-01-21,109.550003,297.25,55.889999,45.919998
2015-01-22,112.400002,310.320007,57.59,47.130001
2015-01-23,112.980003,312.390015,56.68,47.18
2015-01-26,113.099998,309.660004,56.77,47.009998
2015-01-27,109.139999,306.75,56.200001,42.66
2015-01-28,115.309998,303.910004,54.75,41.189999
2015-01-29,118.900002,311.779999,55.669998,42.009998
2015-01-30,117.160004,354.529999,54.380001,40.400002
2015-02-02,118.629997,364.470001,55.470001,41.279999
2015-02-03,118.650002,363.549988,56.720001,41.599998
2015-02-04,119.559998,364.75,56.380001,41.84
2015-02-05,119.940002,373.890015,56.77,42.450001
2015-02-06,118.93,374.279999,57.889999,42.41
2015-02-09,119.720001,370.559998,57.82,42.360001
2015-02-10,122.019997,373.0,58.459999,42.599998
2015-02-11,124.879997,375.140015,58.369999,42.380001
2015-02-12,126.459999,377.170013,59.57,43.09
2015-02-13,127.080002,381.829987,59.669998,43.869999
2015-02-17,127.830002,375.429993,60.099998,43.580002
2015-02-18,128.720001,373.369995,59.369999,43.529999
2015-02-19,128.449997,379.0,59.23,43.5
2015-02-20,129.5,383.660004,59.799999,43.860001
2015-02-23,133.0,380.140015,59.349998,44.150002
2015-02-24,132.169998,378.589996,60.82,44.09
2015-02-25,128.789993,385.369995,61.139999,43.990002
2015-02-26,130.419998,384.799988,61.580002,44.060001
2015-02-27,128.460007,380.160004,61.279999,43.849998
2015-03-02,129.089996,385.660004,61.77,43.880001
2015-03-03,129.360001,384.609985,61.970001,43.279999
2015-03-04,128.539993,382.720001,62.130001,43.060001
2015-03-05,126.410004,387.829987,62.0,43.110001
2015-03-06,126.599998,380.089996,60.889999,42.360001
2015-03-09,127.139999,378.559998,61.5,42.849998
2015-03-10,124.510002,369.51001,59.959999,42.029999
2015-03-11,122.239998,366.369995,60.240002,41.98
2015-03-12,124.449997,374.23999,61.369999,41.02
2015-03-13,123.589996,370.579987,61.0,41.380001
2015-03-16,124.949997,373.350006,61.849998,41.560001
2015-03-17,127.040001,371.920013,61.610001,41.700001
2015-03-18,128.470001,375.140015,61.75,42.5
2015-03-19,127.5,373.23999,61.200001,42.290001
2015-03-20,125.900002,378.48999,61.75,42.880001
2015-03-23,127.209999,375.109985,61.139999,42.860001
2015-03-24,126.690002,374.089996,60.459999,42.900002
2015-03-25,123.379997,370.959991,59.610001,41.459999
2015-03-26,124.239998,367.350006,59.540001,41.209999
2015-03-27,123.25,370.559998,59.549999,40.970001
2015-03-30,126.370003,374.589996,60.959999,40.959999
2015-03-31,124.43,372.100006,60.580002,40.66
2015-04-01,124.25,370.26001,59.950001,40.720001
2015-04-02,125.32,372.25,60.52,40.290001
2015-04-06,127.349998,377.040009,60.470001,41.549999
2015-04-07,126.010002,374.410004,60.849998,41.529999
2015-04-08,125.599998,381.200012,61.049999,41.419998
2015-04-09,126.559998,383.540009,61.470001,41.48
2015-04-10,127.099998,382.649994,61.700001,41.720001
2015-04-13,126.849998,382.359985,62.07,41.759998
2015-04-14,126.300003,385.109985,63.040001,41.650002
2015-04-15,126.779999,383.450012,64.209999,42.259998
2015-04-16,126.169998,386.040009,63.810001,42.16
2015-04-17,124.75,375.559998,62.84,41.619999
2015-04-20,127.599998,389.51001,63.240002,42.91
2015-04-21,126.910004,391.179993,62.310001,42.639999
2015-04-22,128.619995,389.799988,62.939999,42.990002
2015-04-23,129.669998,389.98999,62.799999,43.34
2015-04-24,130.279999,445.100006,62.599998,47.869999
2015-04-27,132.649994,438.559998,62.34,48.029999
2015-04-28,130.559998,429.309998,62.759998,49.16
2015-04-29,128.639999,429.369995,63.599998,49.060001
2015-04-30,125.150002,421.779999,63.259998,48.639999
2015-05-01,128.949997,422.869995,63.610001,48.66
2015-05-04,128.699997,423.040009,64.720001,48.240002
2015-05-05,125.800003,421.190002,64.400002,47.599998
2015-05-06,125.010002,419.100006,63.919998,46.279999
2015-05-07,125.260002,426.880005,64.5,46.700001
2015-05-08,127.620003,433.690002,65.489998,47.75
2015-05-11,126.32,432.850006,65.449997,47.369999
2015-05-12,125.870003,431.019989,65.360001,47.349998
2015-05-13,126.010002,426.869995,65.519997,47.630001
2015-05-14,128.949997,432.279999,66.050003,48.720001
2015-05-15,128.770004,426.0,65.879997,48.299999
2015-05-18,130.190002,425.23999,66.419998,48.009998
2015-05-19,130.070007,421.709991,67.010002,47.580002
2015-05-20,130.059998,423.859985,66.480003,47.580002
2015-05-21,131.389999,431.630005,66.650002,47.419998
2015-05-22,132.539993,427.630005,66.470001,46.900002
2015-05-26,129.619995,425.470001,65.730003,46.59
2015-05-27,132.039993,431.420013,66.470001,47.610001
2015-05-28,131.779999,426.570007,66.199997,47.450001
2015-05-29,130.279999,429.230011,65.779999,46.860001
2015-06-01,130.539993,430.920013,66.080002,47.23
2015-06-02,129.960007,430.98999,66.019997,46.919998
2015-06-03,130.119995,436.589996,66.699997,46.849998
2015-06-04,129.360001,430.779999,66.330002,46.360001
2015-06-05,128.649994,426.950012,67.419998,46.139999
2015-06-08,127.800003,423.5,66.889999,45.73
2015-06-09,127.419998,425.480011,67.18,45.650002
2015-06-10,128.880005,430.769989,68.260002,46.610001
2015-06-11,128.589996,432.970001,68.519997,46.439999
2015-06-12,127.169998,429.920013,68.25,45.970001
2015-06-15,126.919998,423.670013,67.989998,45.48
2015-06-16,127.599998,427.26001,68.370003,45.830002
2015-06-17,127.300003,427.809998,68.139999,45.970001
2015-06-18,127.879997,439.390015,68.779999,46.720001
2015-06-19,126.599998,434.920013,68.080002,46.099998
2015-06-22,127.610001,436.290009,68.959999,46.23
2015-06-23,127.029999,445.98999,69.75,45.91
2015-06-24,128.110001,440.839996,69.019997,45.639999
2015-06-25,127.5,440.100006,68.650002,45.650002
2015-06-26,126.75,438.100006,68.949997,45.259998
2015-06-29,124.529999,429.859985,67.199997,44.369999
2015-06-30,125.43,434.089996,67.760002,44.150002
2015-07-01,126.599998,437.390015,68.07,44.450001
2015-07-02,126.440002,437.709991,67.519997,44.400002
2015-07-06,126.0,436.040009,67.330002,44.389999
2015-07-07,125.690002,436.720001,66.800003,44.299999
2015-07-08,122.57,429.700012,65.43,44.240002
2015-07-09,120.07,434.390015,66.110001,44.52
2015-07-10,123.279999,443.51001,67.050003,44.610001
2015-07-13,125.660004,455.570007,68.089996,45.540001
2015-07-14,125.610001,465.570007,69.040001,45.619999
2015-07-15,126.82,461.190002,69.190002,45.759998
2015-07-16,128.509995,475.480011,69.559998,46.66
2015-07-17,129.619995,483.01001,69.209999,46.619999
2015-07-20,132.070007,488.100006,69.260002,46.919998
2015-07-21,130.75,488.0,69.099998,47.279999
2015-07-22,125.220001,488.269989,70.080002,45.540001
2015-07-23,125.160004,482.179993,69.639999,46.110001
2015-07-24,124.5,529.419983,68.910004,45.939999
2015-07-27,122.769997,531.409973,68.010002,45.349998
2015-07-28,123.379997,526.030029,68.050003,45.34
2015-07-29,122.989998,529.0,68.940002,46.290001
2015-07-30,122.370003,536.76001,69.040001,46.880001
2015-07-31,121.300003,536.150024,68.529999,46.700001
2015-08-03,118.440002,535.030029,68.529999,46.810001
2015-08-04,114.639999,531.900024,68.459999,47.540001
2015-08-05,115.400002,537.01001,68.730003,47.580002
2015-08-06,115.129997,529.460022,68.25,46.619999
2015-08-07,115.519997,522.619995,68.050003,46.740002
2015-08-10,119.720001,524.0,68.889999,47.330002
2015-08-11,113.489998,527.460022,68.230003,46.41
2015-08-12,115.239998,525.909973,67.239998,46.740002
2015-08-13,115.150002,529.659973,67.550003,46.73
2015-08-14,115.959999,531.52002,67.889999,47.0
2015-08-17,117.160004,535.219971,68.07,47.32
2015-08-18,116.5,535.02002,68.209999,47.27
2015-08-19,115.010002,532.919983,67.599998,46.610001
2015-08-20,112.650002,515.780029,65.940002,45.66
2015-08-21,105.760002,494.470001,63.599998,43.07
2015-08-24,103.120003,463.369995,60.25,41.68
2015-08-25,103.739998,466.369995,59.91,40.470001
2015-08-26,109.690002,500.769989,62.91,42.709999
2015-08-27,112.919998,518.369995,64.480003,43.900002
2015-08-28,113.290001,518.01001,64.129997,43.93
2015-08-31,112.760002,512.890015,64.099998,43.52
2015-09-01,107.720001,496.540009,61.450001,41.82
2015-09-02,112.339996,510.549988,62.57,43.360001
2015-09-03,110.370003,504.720001,62.68,43.5
2015-09-04,109.269997,499.0,61.5,42.610001
2015-09-08,112.309998,517.539978,63.16,43.889999
2015-09-09,110.150002,516.890015,62.18,43.07
2015-09-10,112.57,522.23999,62.66,43.290001
2015-09-11,114.209999,529.440002,62.560001,43.48
2015-09-14,115.309998,521.380005,62.380001,43.040001
2015-09-15,116.279999,522.369995,63.580002,43.98
2015-09-16,116.410004,527.390015,64.139999,44.299999
2015-09-17,113.919998,538.869995,62.650002,44.25
2015-09-18,113.449997,540.26001,60.939999,43.48
2015-09-21,115.209999,548.390015,61.450001,44.110001
2015-09-22,113.400002,538.400024,60.91,43.900002
2015-09-23,114.32,536.070007,60.639999,43.869999
2015-09-24,115.0,533.75,60.220001,43.91
2015-09-25,114.709999,524.25,61.470001,43.939999
2015-09-28,112.440002,504.059998,59.98,43.290001
2015-09-29,109.059998,496.070007,59.84,43.439999
2015-09-30,110.300003,511.890015,60.970001,44.259998
2015-10-01,109.580002,520.719971,61.419998,44.610001
2015-10-02,110.379997,532.539978,60.810001,45.57
2015-10-05,110.779999,543.679993,62.02,46.630001
2015-10-06,111.309998,537.47998,62.049999,46.75
2015-10-07,110.779999,541.940002,62.130001,46.799999
2015-10-08,109.5,533.159973,62.130001,47.450001
2015-10-09,112.120003,539.799988,61.93,47.110001
2015-10-12,111.599998,550.190002,61.720001,47.0
2015-10-13,111.790001,548.900024,61.549999,46.889999
2015-10-14,110.209999,544.830017,59.990002,46.68
2015-10-15,111.860001,562.440002,61.889999,47.009998
2015-10-16,111.040001,570.76001,62.43,47.509998
2015-10-19,111.730003,573.150024,62.220001,47.619999
2015-10-20,113.769997,560.880005,62.52,47.77
2015-10-21,113.760002,555.77002,62.060001,47.200001
2015-10-22,115.5,563.909973,63.189999,48.029999
2015-10-23,119.080002,599.030029,63.869999,52.869999
2015-10-26,115.279999,608.609985,63.900002,54.25
2015-10-27,114.550003,611.01001,63.639999,53.689999
2015-10-28,119.269997,617.099976,65.5,53.98
2015-10-29,120.529999,626.549988,65.209999,53.360001
2015-10-30,119.5,625.900024,64.25,52.639999
2015-11-02,121.18,628.349976,65.540001,53.240002
2015-11-03,122.57,625.309998,65.779999,54.150002
2015-11-04,122.0,640.950012,65.849998,54.400002
2015-11-05,120.919998,655.650024,66.440002,54.380001
2015-11-06,121.059998,659.369995,68.459999,54.919998
2015-11-09,120.57,655.48999,67.389999,54.16
2015-11-10,116.769997,659.679993,67.68,53.509998
2015-11-11,116.110001,673.25,67.349998,53.650002
2015-11-12,115.720001,665.599976,66.0,53.32
2015-11-13,112.339996,642.349976,65.559998,52.84
2015-11-16,114.18,647.809998,66.510002,53.77
2015-11-17,113.690002,643.299988,66.129997,52.970001
