Date,AAL,ADM,AES,AGN,ALKS,AMAT,AMD,AMGN,APD,ARNC,AVT,AXP,AXS,BAC,BC,BEN,CA,CAH,CASY,CELG,CL,CMCSA,COLM,CRI,CSCO,CVS,CVX,CXO,DIS,DISH,EGN,ETR,F,FCNCA,FLS,FSLR,FTI,GE,GPC,GPS,GRMN,GWR,GWW,HAIN,HAS,HD,HHC,HOG,HRL,INTC,JLL,JNJ,JWN,KMB,KMI,KSS,LAZ,LEG,LLY,LMT,LNG,LOW,LPX,LUK,LVLT,LYB,M,MAS,MD,MDLZ,MDT,MLM,MMM,MO,MS,MUR,NFX,NKE,NUAN,NWL,NWS,OTEX,PAG,PCLN,PDCO,PEP,PM,QCOM,RPM,RTN,SEE,SJM,SKX,SLB,SNA,SON,STX,SWKS,KHC,HPE,T,TAP,TGT,TRIP,TWTR,UAL,UHS,UNP,VIA,VMC,VRSK,VSAT,WAB,WHR,WPX,WTM,XOM,XRAY,Y
2015-01-02,52.522354,48.102367,12.340727,256.730408,58.240002,23.874666,2.67,149.572357,125.523994,34.951889,40.941017,88.572037,47.251919,17.21365,49.417496,52.819675,28.007423,75.930328,86.960144,113.519997,64.94973,26.357395,42.909946,82.942093,25.167488,90.425812,100.093475,101.010002,90.569359,72.269997,63.158562,77.214348,13.228557,247.693497,57.083759,44.549999,41.246117,22.878813,98.584137,38.04435,45.389957,89.099998,239.889343,56.939999,51.366661,97.532379,130.550003,61.139381,24.379103,33.426937,149.438385,96.810455,67.785782,106.229218,38.738991,52.992733,44.303944,39.032974,65.172867,178.959686,71.32,64.64534,16.540001,21.857513,49.349998,72.083908,58.775639,21.125765,66.080002,35.104279,67.911972,108.091942,152.875549,44.131454,36.674358,44.966167,26.6,45.741844,14.14,36.080036,14.411404,27.054747,45.832939,1142.060059,45.572365,87.318222,71.95314,67.46743,46.954411,101.61422,41.246674,94.438988,18.58,79.236969,130.561813,39.946671,55.279896,70.832298,,,29.030552,70.166428,68.7239,74.589996,36.560001,66.339996,109.968178,111.115242,70.312889,65.805603,63.970001,61.959999,86.056694,181.603928,11.91,629.55957,84.283142,51.168221,462.100006
2015-01-05,52.49313,46.437923,11.989422,254.312958,59.380001,23.109455,2.66,147.794952,121.510483,32.926968,40.424473,86.229668,46.69976,16.713585,49.049568,51.068218,28.089561,75.496498,85.054832,111.93,64.469917,25.921965,43.258415,81.370049,24.666143,89.532013,96.092575,96.110001,89.245834,70.440002,59.393414,76.633331,12.711815,238.513092,55.160229,41.830002,39.632446,22.458847,97.954811,38.289627,44.138241,86.0,234.02417,55.540001,51.516174,95.486099,125.260002,59.940575,23.944605,33.050003,145.084381,96.1343,66.842979,105.622467,37.689301,52.672585,42.969433,38.58857,64.531006,175.238144,69.190002,63.098427,16.190001,21.142776,48.57,68.455864,58.274578,20.762539,65.699997,34.579479,67.628525,103.684387,149.427811,43.87912,35.527985,42.570469,24.9,45.005394,14.04,35.660721,14.084312,26.60787,45.039177,1097.579956,45.394016,86.661758,71.411407,67.149529,46.021843,100.311172,40.657429,92.897568,18.933332,77.091164,128.214767,39.386116,54.986835,69.682678,,,28.756275,69.738945,67.492302,72.730003,36.380001,66.150002,107.718658,107.358643,68.39341,63.988037,63.139999,59.98,84.110527,177.859131,10.87,615.613647,81.976997,50.813503,452.119995
2015-01-06,51.674747,45.52248,11.71919,252.807037,60.93,22.239025,2.63,143.033417,121.467323,33.169083,39.314854,84.391953,46.400276,16.213526,48.613873,50.068748,27.624136,74.685425,84.429512,110.510002,63.792583,25.583809,42.977707,79.933029,24.65703,89.598579,96.048119,94.18,88.772461,68.669998,59.043865,76.492477,12.591244,234.678848,54.442501,40.860001,38.80788,21.974977,93.938156,37.78091,43.603027,84.300003,230.706207,55.080002,50.843372,95.193748,120.379997,59.224998,23.765139,32.434055,144.393234,95.661926,66.419167,104.60199,36.947285,52.601444,41.033951,38.708923,64.85659,174.414185,67.32,63.241665,15.6,20.920626,47.02,67.006439,58.059834,20.737206,64.860001,34.340942,67.288414,102.689774,147.834381,44.140469,34.50478,41.48394,24.6,44.740658,13.86,35.041279,13.920763,25.760662,45.459404,1079.959961,44.905914,86.00531,72.024193,66.195816,45.770054,99.953651,40.869942,92.155067,18.633333,75.583572,127.822021,39.092049,53.471291,67.460716,,,28.799124,69.406441,67.48317,70.010002,38.759998,64.580002,107.758301,105.13839,67.098228,63.840675,62.919998,58.82,83.023811,176.391327,10.98,620.504639,81.541191,50.182888,449.459991
2015-01-07,51.645512,46.206753,11.737203,262.773895,66.75,22.449455,2.58,148.028839,122.779274,34.027473,39.563568,86.235077,46.465786,16.290461,49.872555,50.725548,27.943546,77.363869,85.396812,114.550003,64.300598,25.560646,43.481045,81.871552,24.884909,91.215012,95.968102,91.989998,89.680573,68.459999,58.973953,77.267174,12.95296,239.392578,54.279819,41.75,37.486797,21.984108,95.372665,39.606819,44.414478,83.43,230.912994,56.610001,51.086327,98.456474,121.599998,60.200779,24.152411,33.114365,146.989883,97.773743,68.69397,105.32827,37.435925,54.522316,42.403809,39.551437,64.40078,176.663803,66.610001,65.12278,15.69,21.16209,47.02,67.708633,60.43985,21.061586,65.699997,35.419159,68.970139,105.088577,148.906021,44.951542,34.997433,41.394878,23.610001,45.664837,13.88,35.250946,13.863041,26.160986,45.702206,1069.569946,46.555473,88.520187,72.565926,66.967873,42.216995,101.204979,40.927906,94.213402,19.716667,75.574318,128.626755,39.128807,53.814587,68.571701,,,28.833895,71.629417,70.037613,70.839996,37.279999,65.529999,110.978966,105.719215,66.548454,65.049103,62.959999,58.52,83.833908,180.54071,10.8,623.742126,82.367409,51.483528,451.149994
2015-01-08,52.278786,45.531723,11.91736,266.46933,65.230003,23.166845,2.61,147.495621,125.618965,34.995914,40.501003,87.457466,47.476521,16.627039,52.486721,51.391857,28.390715,79.749931,89.432137,115.050003,65.175491,26.116518,44.168301,82.739563,25.076332,93.154739,98.164154,96.400002,90.608002,70.220001,61.0313,77.72496,13.280229,238.977554,54.930565,43.630001,38.506424,22.248869,95.576279,39.152618,44.414478,84.800003,236.054413,56.900002,51.394699,100.634773,125.269997,61.455338,24.412167,33.730312,151.946121,98.542519,69.005348,107.553055,38.313686,54.709061,43.093163,40.662426,65.926376,180.644592,68.25,66.497803,16.440001,22.021713,47.240002,70.418427,60.672478,21.901331,66.019997,35.867619,70.623528,109.125572,152.474884,45.708549,35.518501,43.256222,23.98,46.718967,14.07,36.070499,14.180513,26.53339,46.580017,1082.849976,47.328415,90.128967,73.658279,67.676331,43.961578,103.114838,41.681358,95.576233,19.969999,76.489975,131.55809,40.62669,54.785889,71.682457,,,29.120764,73.842903,70.366043,73.260002,39.09,66.639999,112.118584,109.681931,67.47094,67.082802,63.59,60.09,85.552864,185.198196,11.52,630.545654,83.738388,52.754604,454.980011
2015-01-09,50.681,45.143353,11.620101,266.191895,65.139999,23.185974,2.63,145.680801,123.737343,35.458118,40.214031,86.349686,46.68103,16.328924,51.963879,51.277634,28.399837,79.070915,88.699318,113.669998,64.535782,26.074829,42.338848,81.794411,25.331562,93.107193,96.208153,99.419998,91.052391,71.790001,62.000061,77.284782,13.099371,232.722198,54.633896,44.200001,37.389267,21.938463,93.817825,38.171539,44.405846,83.260002,233.319199,55.759998,49.731377,98.909103,125.900002,60.219364,24.218529,33.794666,151.21553,97.199478,67.898216,106.587738,37.834087,53.54409,41.926571,40.662426,65.051941,180.54277,69.269997,65.246895,16.5,21.722294,47.209999,71.102623,58.981415,21.528111,65.709999,35.514576,70.29287,107.048561,150.601929,45.600403,34.940586,43.202782,24.5,46.20393,13.51,35.689312,14.315201,26.500803,46.047726,1051.959961,47.535786,89.51873,73.462898,67.594589,43.201847,102.268089,41.024502,94.965309,19.780001,75.121117,130.025345,40.47966,55.631577,71.566521,,,29.033836,73.700409,69.727432,74.529999,40.169998,65.339996,111.8312,107.71463,66.790718,67.092628,63.09,59.5,83.833908,185.574539,11.43,627.198608,83.620361,51.986042,454.070007
2015-01-12,48.303802,44.579296,11.602085,269.758606,68.610001,22.631197,2.63,146.139175,122.882843,35.590183,39.974895,85.471085,45.660946,16.040428,51.276455,50.240082,28.536728,78.099495,89.363754,117.0,64.215935,26.019236,42.609875,83.337517,25.568563,92.422592,94.136574,95.080002,91.255272,71.279999,59.722992,76.624527,13.107985,226.644775,53.686485,42.830002,36.272114,21.892813,90.254646,38.380466,44.414478,82.360001,230.424225,54.389999,49.161369,98.465897,122.959999,60.089264,23.859596,33.647572,149.704987,96.866043,67.794418,106.422272,37.653111,53.917595,41.360947,41.106827,64.577515,180.033615,68.480003,64.788574,16.450001,21.355267,47.18,68.554886,59.088791,21.366949,65.349998,35.180611,70.358978,107.350853,149.781891,45.888779,34.457401,41.626434,22.73,46.141361,13.61,35.527309,14.161274,26.086514,45.786247,1039.97998,47.187019,89.148911,73.755966,66.822548,42.901703,100.339401,41.497822,94.307388,20.16,72.189148,128.368057,40.920753,54.459332,69.866234,,,29.112068,73.11142,69.909904,71.449997,39.369999,65.919998,105.280876,106.768448,67.47094,67.053329,62.970001,58.639999,82.885506,187.202347,11.01,630.555664,82.013329,51.493378,451.910004
2015-01-13,49.102692,44.644016,11.728194,267.400665,67.360001,22.315542,2.66,145.12886,122.235512,34.77581,39.850544,85.213257,45.838753,15.819246,51.431362,49.735592,28.500223,77.807121,90.800064,119.980003,64.658073,26.329599,42.803474,83.568977,25.61414,92.460632,92.642906,96.980003,91.960503,71.769997,60.09251,75.744186,13.099371,226.387787,54.078842,42.709999,35.890858,21.783258,89.847435,37.78091,44.492176,82.870003,228.81694,54.110001,48.507252,97.815254,117.739998,59.652481,23.944605,33.555637,149.191574,97.032753,67.422501,106.716461,37.001575,53.926487,41.28141,41.264221,64.540306,179.922516,69.699997,64.798119,16.08,21.345608,47.439999,67.789658,58.677208,20.993723,65.529999,34.951611,68.771736,106.044182,149.67009,46.24926,34.135284,41.528473,22.9,45.732216,13.49,35.775085,14.142033,26.659073,45.067192,1037.819946,47.300133,89.08419,73.800369,66.277565,43.07991,99.868973,41.439869,94.871315,19.813334,71.93943,128.24353,40.966705,54.216503,70.368576,,,29.112068,72.360916,69.28952,71.470001,39.650002,66.410004,105.290794,104.763687,67.713188,66.178932,63.43,57.189999,82.450836,185.706284,10.8,642.987488,81.713707,51.335732,448.679993
2015-01-14,48.138176,43.876534,11.836288,263.952881,67.629997,22.019026,2.63,145.147614,120.776825,32.904961,39.927063,83.150482,45.01519,15.424968,51.092499,49.012165,28.345087,77.288414,90.262665,121.099998,64.394669,25.857109,41.903263,82.450218,25.45006,92.546204,92.376183,100.660004,91.033081,70.440002,61.900181,76.721359,13.013247,223.502258,53.504662,42.279999,35.62487,21.710222,88.181534,37.508389,44.716618,82.150002,227.369431,53.040001,48.778244,96.787407,119.129997,59.001961,23.892654,33.41774,148.00679,96.328804,66.635414,106.85437,37.300194,53.286201,40.29158,41.060539,64.893791,178.885635,73.059998,64.349319,16.16,21.123461,47.880001,66.94342,57.648258,20.739256,65.309998,34.875275,67.808029,104.006187,148.943253,46.61874,33.35841,41.28801,24.190001,45.106483,13.35,35.860851,14.07469,26.37512,44.217392,1035.670044,47.375542,89.380043,74.084557,65.596352,43.145565,99.774902,40.734711,94.890121,19.833334,72.503624,129.124878,40.764534,54.082535,69.170654,,,28.972986,71.230431,67.811584,69.730003,39.849998,64.050003,103.368301,104.323357,63.42696,66.552269,62.970001,56.650002,82.193977,187.00473,11.59,641.582947,81.477638,50.586872,443.019989
2015-01-15,48.138176,43.65461,11.800258,261.307587,65.650002,22.315542,2.52,142.116653,120.371162,32.948978,39.19051,82.014053,45.024551,14.617176,49.659538,48.536232,28.089561,76.250969,89.627563,118.269997,64.272377,25.940495,40.944973,80.810669,24.98518,92.394073,91.282616,100.510002,91.14901,70.190002,60.711716,77.901009,12.797938,220.675995,53.169724,40.16,34.543179,21.527624,87.996445,36.618141,43.870628,82.470001,223.62851,53.0,48.55397,95.250343,115.110001,58.212051,24.2981,33.270657,146.901016,94.930191,65.545563,106.85437,36.892982,52.067871,38.851009,40.579105,64.875191,178.089478,73.059998,63.356243,15.55,20.90131,47.299999,67.76265,55.778248,20.153973,64.669998,34.86573,67.930862,101.977943,148.775513,47.285637,32.761539,40.50428,23.5,44.673264,13.33,36.003796,13.988107,26.659073,43.078106,998.25,46.875961,89.380043,73.551704,64.833412,42.657829,99.605553,40.184109,95.209702,19.040001,70.875778,127.62085,40.158031,52.148327,68.909828,,,28.912134,70.831429,69.034073,66.389999,36.93,63.830002,104.706116,103.798752,62.224941,65.058929,62.700001,56.009998,81.245583,183.928009,10.99,640.88562,80.769455,49.847874,440.609985
