Date,AAPL,MSFT,PCLN
2015-01-02,109.330002,46.759998,1142.060059
2015-01-05,106.25,46.330002,1097.579956
2015-01-06,106.260002,45.650002,1079.959961
2015-01-07,107.75,46.23,1069.569946
2015-01-08,111.889999,47.59,1082.849976
2015-01-09,112.010002,47.189999,1051.959961
2015-01-12,109.25,46.599998,1039.97998
2015-01-13,110.220001,46.360001,1037.819946
2015-01-14,109.800003,45.959999,1035.670044
2015-01-15,106.82,45.48,998.25
2015-01-16,105.989998,46.240002,1008.219971
2015-01-20,108.720001,46.389999,1024.949951
2015-01-21,109.550003,45.919998,1045.530029
2015-01-22,112.400002,47.130001,1049.680054
2015-01-23,112.980003,47.18,1037.98999
2015-01-26,113.099998,47.009998,1041.859985
2015-01-27,109.139999,42.66,1013.859985
2015-01-28,115.309998,41.189999,1003.25
2015-01-29,118.900002,42.009998,1014.73999
2015-01-30,117.160004,40.400002,1009.47998
2015-02-02,118.629997,41.279999,1013.030029
2015-02-03,118.650002,41.599998,1037.550049
2015-02-04,119.559998,41.84,1028.280029
2015-02-05,119.940002,42.450001,1044.599976
2015-02-06,118.93,42.41,1022.419983
2015-02-09,119.720001,42.360001,1033.150024
2015-02-10,122.019997,42.599998,1057.619995
2015-02-11,124.879997,42.380001,1060.060059
2015-02-12,126.459999,43.09,1091.949951
2015-02-13,127.080002,43.869999,1103.369995
2015-02-17,127.830002,43.580002,1120.98999
2015-02-18,128.720001,43.529999,1122.98999
2015-02-19,128.449997,43.5,1218.050049
2015-02-20,129.5,43.860001,1216.22998
2015-02-23,133.0,44.150002,1207.579956
2015-02-24,132.169998,44.09,1219.790039
2015-02-25,128.789993,43.990002,1250.859985
2015-02-26,130.419998,44.060001,1241.25
2015-02-27,128.460007,43.849998,1237.47998
2015-03-02,129.089996,43.880001,1249.400024
2015-03-03,129.360001,43.279999,1242.030029
2015-03-04,128.539993,43.060001,1225.670044
2015-03-05,126.410004,43.110001,1231.900024
2015-03-06,126.599998,42.360001,1215.98999
2015-03-09,127.139999,42.849998,1217.0
2015-03-10,124.510002,42.029999,1191.089966
2015-03-11,122.239998,41.98,1177.550049
2015-03-12,124.449997,41.02,1186.599976
2015-03-13,123.589996,41.380001,1157.77002
2015-03-16,124.949997,41.560001,1158.439941
2015-03-17,127.040001,41.700001,1153.569946
2015-03-18,128.470001,42.5,1181.689941
2015-03-19,127.5,42.290001,1176.319946
2015-03-20,125.900002,42.880001,1179.170044
2015-03-23,127.209999,42.860001,1181.180054
2015-03-24,126.690002,42.900002,1169.719971
2015-03-25,123.379997,41.459999,1152.699951
2015-03-26,124.239998,41.209999,1140.359985
2015-03-27,123.25,40.970001,1135.189941
2015-03-30,126.370003,40.959999,1149.829956
2015-03-31,124.43,40.66,1164.150024
2015-04-01,124.25,40.720001,1149.599976
2015-04-02,125.32,40.290001,1160.439941
2015-04-06,127.349998,41.549999,1185.01001
2015-04-07,126.010002,41.529999,1184.97998
2015-04-08,125.599998,41.419998,1192.25
2015-04-09,126.559998,41.48,1186.0
2015-04-10,127.099998,41.720001,1189.5
2015-04-13,126.849998,41.759998,1199.75
2015-04-14,126.300003,41.650002,1204.709961
2015-04-15,126.779999,42.259998,1200.949951
2015-04-16,126.169998,42.16,1206.089966
2015-04-17,124.75,41.619999,1187.530029
2015-04-20,127.599998,42.91,1191.420044
2015-04-21,126.910004,42.639999,1194.26001
2015-04-22,128.619995,42.990002,1212.900024
2015-04-23,129.669998,43.34,1221.099976
2015-04-24,130.279999,47.869999,1233.089966
2015-04-27,132.649994,48.029999,1253.199951
2015-04-28,130.559998,49.16,1242.119995
2015-04-29,128.639999,49.060001,1248.51001
2015-04-30,125.150002,48.639999,1237.810059
2015-05-01,128.949997,48.66,1260.430054
2015-05-04,128.699997,48.240002,1267.459961
2015-05-05,125.800003,47.599998,1263.319946
2015-05-06,125.010002,46.279999,1264.150024
2015-05-07,125.260002,46.700001,1213.48999
2015-05-08,127.620003,47.75,1204.76001
2015-05-11,126.32,47.369999,1186.380005
2015-05-12,125.870003,47.349998,1183.469971
2015-05-13,126.010002,47.630001,1177.75
2015-05-14,128.949997,48.720001,1190.089966
2015-05-15,128.770004,48.299999,1198.800049
