Date,KO,MSFT,PCLN,PEP
2015-09-30,37.613503,42.065155,1236.859985,89.106094
2015-10-01,37.313496,42.397797,1247.079956,88.680862
2015-10-02,37.866634,43.310192,1265.680054,88.973793
2015-10-05,38.447899,44.317627,1274.859985,90.532898
2015-10-06,38.401024,44.431675,1275.449951,91.723511
2015-10-07,38.926041,44.479198,1291.579956,93.093651
2015-10-08,39.3573,45.096962,1304.319946,93.51886
2015-10-09,39.394802,44.773827,1313.290039,93.991318
2015-10-12,39.376049,44.669281,1347.189941,93.679504
2015-10-13,39.047924,44.564732,1345.0,92.526688
2015-10-14,39.076038,44.365143,1311.079956,92.120377
2015-10-15,39.301044,44.67878,1327.290039,92.866859
2015-10-16,39.394802,45.153984,1336.569946,94.208641
2015-10-19,39.366676,45.25853,1376.130005,94.662216
2015-10-20,39.64793,45.401089,1372.51001,94.747253
2015-10-21,39.554184,44.85936,1364.290039,94.728363
2015-10-22,40.538582,45.648201,1354.469971,97.402489
2015-10-23,40.116695,50.248184,1366.48999,96.788277
2015-10-26,39.929192,51.55975,1416.319946,96.892227
2015-10-27,39.947941,51.027523,1403.280029,97.27018
2015-10-28,40.060448,51.303135,1404.52002,97.081215
2015-10-29,40.116695,50.71389,1425.650024,97.137909
2015-10-30,39.704189,50.029591,1454.23999,96.561508
2015-11-02,39.601059,50.599834,1467.189941,95.815025
2015-11-03,39.526054,51.46471,1464.900024,95.361458
2015-11-04,39.347923,51.702312,1469.560059,95.077972
2015-11-05,39.685436,51.683304,1462.640015,95.068535
2015-11-06,39.338551,52.196522,1449.900024,94.227554
2015-11-09,38.94479,51.474209,1311.150024,93.433807
2015-11-10,39.160419,50.856441,1323.540039,93.386559
2015-11-11,39.413551,50.989502,1329.579956,93.953514
2015-11-12,38.982292,50.675869,1314.01001,92.951904
2015-11-13,38.794785,50.219673,1297.75,92.640091
2015-11-16,39.338551,51.103554,1266.869995,94.07637
2015-11-17,39.066662,50.682556,1258.790039,93.386559
2015-11-18,39.638554,51.524551,1278.5,94.747253
2015-11-19,40.41671,51.610664,1284.650024,95.370895
2015-11-20,39.779182,51.849869,1281.530029,94.586617
2015-11-23,40.276073,51.849869,1264.319946,95.295311
2015-11-24,40.651081,51.907284,1240.180054,95.087418
2015-11-25,40.651081,51.37146,1245.75,94.9646
2015-11-27,40.764454,51.601093,1244.98999,95.191368
2015-11-30,40.263752,52.00296,1248.849976,94.643326
2015-12-01,40.518826,52.835396,1282.5,95.493744
2015-12-02,40.405457,52.825821,1275.439941,94.659248
2015-12-03,40.112595,51.85944,1280.079956,94.288139
2015-12-04,40.896709,53.495594,1300.47998,96.162666
2015-12-07,40.811684,53.399914,1302.420044,95.79158
2015-12-08,40.632187,53.380775,1303.969971,95.315804
2015-12-09,40.30154,52.605755,1294.98999,94.326202
2015-12-10,40.396011,52.883236,1306.5,94.107346
2015-12-11,39.933105,51.725483,1285.329956,93.041626
2015-12-14,40.103149,52.758842,1297.880005,93.203377
2015-12-15,40.688866,52.816257,1323.72998,94.573616
2015-12-16,41.416309,53.706093,1332.310059,96.181717
2015-12-17,41.085659,53.294666,1313.73999,95.344353
2015-12-18,40.150383,51.792465,1285.670044,93.155807
