Date,KO,MSFT,PCLN,PEP
2015-09-30,40.119999,44.259998,1236.859985,94.300003
2015-10-01,39.799999,44.610001,1247.079956,93.849998
2015-10-02,40.389999,45.57,1265.680054,94.160004
2015-10-05,41.009998,46.630001,1274.859985,95.809998
2015-10-06,40.959999,46.75,1275.449951,97.07
2015-10-07,41.52,46.799999,1291.579956,98.519997
2015-10-08,41.98,47.450001,1304.319946,98.970001
2015-10-09,42.02,47.110001,1313.290039,99.470001
2015-10-12,42.0,47.0,1347.189941,99.139999
2015-10-13,41.650002,46.889999,1345.0,97.919998
2015-10-14,41.68,46.68,1311.079956,97.489998
2015-10-15,41.919998,47.009998,1327.290039,98.279999
2015-10-16,42.02,47.509998,1336.569946,99.699997
2015-10-19,41.990002,47.619999,1376.130005,100.18
2015-10-20,42.290001,47.77,1372.51001,100.269997
2015-10-21,42.189999,47.200001,1364.290039,100.25
2015-10-22,43.240002,48.029999,1354.469971,103.080002
2015-10-23,42.790001,52.869999,1366.48999,102.43
2015-10-26,42.59,54.25,1416.319946,102.540001
2015-10-27,42.610001,53.689999,1403.280029,102.940002
2015-10-28,42.73,53.98,1404.52002,102.739998
2015-10-29,42.790001,53.360001,1425.650024,102.800003
2015-10-30,42.349998,52.639999,1454.23999,102.190002
2015-11-02,42.240002,53.240002,1467.189941,101.400002
2015-11-03,42.16,54.150002,1464.900024,100.919998
2015-11-04,41.970001,54.400002,1469.560059,100.620003
2015-11-05,42.330002,54.380001,1462.640015,100.610001
2015-11-06,41.959999,54.919998,1449.900024,99.720001
2015-11-09,41.540001,54.16,1311.150024,98.879997
2015-11-10,41.77,53.509998,1323.540039,98.830002
2015-11-11,42.040001,53.650002,1329.579956,99.43
2015-11-12,41.580002,53.32,1314.01001,98.370003
2015-11-13,41.380001,52.84,1297.75,98.040001
2015-11-16,41.959999,53.77,1266.869995,99.559998
2015-11-17,41.669998,52.970001,1258.790039,98.830002
2015-11-18,42.279999,53.849998,1278.5,100.269997
2015-11-19,43.110001,53.939999,1284.650024,100.93
2015-11-20,42.43,54.189999,1281.530029,100.099998
2015-11-23,42.959999,54.189999,1264.319946,100.849998
2015-11-24,43.360001,54.25,1240.180054,100.629997
2015-11-25,43.360001,53.689999,1245.75,100.5
2015-11-27,43.150002,53.93,1244.98999,100.739998
2015-11-30,42.619999,54.349998,1248.849976,100.160004
2015-12-01,42.889999,55.220001,1282.5,101.059998
2015-12-02,42.77,55.209999,1275.439941,99.480003
2015-12-03,42.459999,54.200001,1280.079956,99.089996
2015-12-04,43.290001,55.91,1300.47998,101.059998
2015-12-07,43.200001,55.810001,1302.420044,100.669998
2015-12-08,43.009998,55.790001,1303.969971,100.169998
2015-12-09,42.66,54.98,1294.98999,99.129997
2015-12-10,42.759998,55.27,1306.5,98.900002
2015-12-11,42.27,54.060001,1285.329956,97.779999
2015-12-14,42.450001,55.139999,1297.880005,97.949997
2015-12-15,43.07,55.200001,1323.72998,99.389999
2015-12-16,43.84,56.130001,1332.310059,101.080002
2015-12-17,43.490002,55.700001,1313.73999,100.199997
2015-12-18,42.5,54.130001,1285.670044,97.900002
2015-12-21,42.779999,54.830002,1275.709961,98.620003
2015-12-22,43.290001,55.349998,1277.48999,99.800003
2015-12-23,43.669998,55.82,1279.050049,100.639999
2015-12-24,43.540001,55.669998,1273.069946,100.540001
2015-12-28,43.490002,55.950001,1272.959961,100.68
2015-12-29,43.709999,56.549999,1302.400024,101.449997
2015-12-30,43.57,56.310001,1289.160034,101.150002
2015-12-31,42.959999,55.48,1274.949951,99.919998
2016-01-04,42.400002,54.799999,1245.369995,98.769997
2016-01-05,42.549999,55.049999,1210.689941,99.449997
2016-01-06,42.32,54.049999,1196.709961,99.480003
2016-01-07,41.619999,52.169998,1167.189941,97.57
2016-01-08,41.509998,52.330002,1136.959961,97.209999
2016-01-11,41.580002,52.299999,1136.280029,97.440002
2016-01-12,42.119999,52.779999,1148.920044,97.620003
2016-01-13,41.849998,51.639999,1098.900024,96.5
2016-01-14,41.880001,53.110001,1121.380005,95.809998
2016-01-15,41.5,50.990002,1086.73999,93.93
2016-01-19,41.919998,50.560001,1094.5,95.769997
2016-01-20,41.380001,50.790001,1081.329956,93.769997
2016-01-21,41.389999,50.48,1089.140015,94.470001
2016-01-22,42.060001,52.290001,1118.109985,95.849998
2016-01-25,42.16,51.790001,1097.930054,95.940002
2016-01-26,42.080002,52.169998,1111.540039,96.32
2016-01-27,42.09,51.220001,1043.699951,95.940002
2016-01-28,42.57,52.060001,1043.130005,97.449997
2016-01-29,42.919998,55.09,1064.969971,99.300003
2016-02-01,43.0,54.709999,1084.869995,99.029999
2016-02-02,42.439999,53.0,1066.790039,98.209999
2016-02-03,42.720001,52.16,1049.160034,98.720001
2016-02-04,42.529999,52.0,1069.099976,97.389999
2016-02-05,42.439999,50.16,1015.549988,97.32
2016-02-08,42.650002,49.41,973.799988,97.519997
2016-02-09,43.299999,49.279999,991.289978,98.279999
2016-02-10,42.549999,49.709999,1032.77002,97.620003
2016-02-11,42.41,49.689999,1055.23999,96.900002
2016-02-12,43.110001,50.5,1058.01001,98.489998
2016-02-16,43.360001,51.09,1110.680054,98.599998
2016-02-17,43.490002,52.419998,1235.560059,99.550003
2016-02-18,43.610001,52.189999,1251.949951,99.620003
2016-02-19,43.77,51.82,1283.73999,99.580002
2016-02-22,43.939999,52.650002,1288.420044,99.870003
2016-02-23,43.689999,51.18,1261.890015,99.540001
2016-02-24,43.91,51.360001,1264.209961,99.68
2016-02-25,44.16,52.099998,1263.410034,100.669998
2016-02-26,43.139999,51.299999,1254.27002,98.360001
2016-02-29,43.130001,50.880001,1265.209961,97.82
2016-03-01,43.689999,52.580002,1295.920044,99.089996
2016-03-02,43.77,52.950001,1301.369995,98.330002
2016-03-03,43.959999,52.349998,1303.040039,99.160004
2016-03-04,44.110001,52.029999,1297.709961,100.0
2016-03-07,44.009998,51.029999,1291.430054,99.25
2016-03-08,44.32,51.650002,1282.77002,99.739998
2016-03-09,44.810001,52.84,1291.890015,100.199997
2016-03-10,45.23,52.049999,1293.77002,100.779999
2016-03-11,45.200001,53.07,1326.869995,101.309998
2016-03-14,45.290001,53.169998,1325.72998,100.650002
2016-03-15,45.240002,53.59,1332.130005,101.150002
2016-03-16,45.049999,54.349998,1350.98999,100.830002
2016-03-17,45.77,54.66,1346.859985,101.870003
2016-03-18,45.599998,53.490002,1344.219971,101.290001
2016-03-21,45.669998,53.860001,1350.51001,101.540001
2016-03-22,45.5,54.07,1319.410034,100.769997
2016-03-23,45.459999,53.970001,1306.109985,100.809998
2016-03-24,45.580002,54.209999,1301.189941,100.68
2016-03-28,45.799999,53.540001,1287.030029,100.980003
2016-03-29,46.48,54.709999,1307.890015,101.370003
2016-03-30,46.580002,55.049999,1317.030029,102.690002
2016-03-31,46.389999,55.23,1288.959961,102.480003
2016-04-01,46.830002,55.57,1299.699951,103.779999
2016-04-04,46.889999,55.43,1281.76001,103.82
2016-04-05,46.529999,54.560001,1279.079956,103.099998
2016-04-06,46.709999,55.119999,1293.01001,103.919998
2016-04-07,46.360001,54.459999,1276.5,103.599998
2016-04-08,46.869999,54.419998,1274.150024,105.080002
