Date,AAPL,MSFT
2015-01-02,103.86647,43.555
2015-01-05,100.940392,43.154472
2015-01-06,100.94989,42.521076
2015-01-07,102.36544,43.061325
2015-01-08,106.298531,44.328106
2015-01-09,106.412552,43.955528
2015-01-12,103.790474,43.40596
2015-01-13,104.711998,43.182419
2015-01-14,104.312988,42.80983
2015-01-15,101.481903,42.362728
2015-01-16,100.693382,43.070637
2015-01-20,103.286957,43.210358
2015-01-21,104.075485,42.772564
2015-01-22,106.783058,43.899639
2015-01-23,107.334084,43.946213
2015-01-26,107.448074,43.787861
2015-01-27,103.685966,39.736023
2015-01-28,109.547638,38.366768
2015-01-29,112.958244,39.130566
2015-01-30,111.305183,37.63092
2015-02-02,112.701721,38.450603
2015-02-03,112.720718,38.748669
2015-02-04,113.585258,38.972233
2015-02-05,114.395966,39.540409
2015-02-06,113.43264,39.503155
2015-02-09,114.186127,39.456585
2015-02-10,116.379814,39.680126
2015-02-11,119.107613,39.475208
2015-02-12,120.614594,40.136551
2015-02-13,121.205933,40.863087
2015-02-17,121.921249,40.881844
2015-02-18,122.770134,40.834942
2015-02-19,122.512596,40.806797
2015-02-20,123.514084,41.144508
2015-02-23,126.85228,41.416557
2015-02-24,126.060654,41.360271
2015-02-25,122.836899,41.266464
2015-02-26,124.391541,41.33213
2015-02-27,122.522156,41.135124
2015-03-02,123.123016,41.163273
2015-03-03,123.380539,40.600418
2015-03-04,122.598434,40.394043
2015-03-05,120.56691,40.440945
2015-03-06,120.748108,39.737381
2015-03-09,121.263153,40.197037
2015-03-10,118.754723,39.427807
2015-03-11,116.589638,39.380898
2015-03-12,118.697479,38.480343
2015-03-13,117.877243,38.81805
2015-03-16,119.174377,38.986904
2015-03-17,121.16777,39.11824
2015-03-18,122.531677,39.86871
2015-03-19,121.606522,39.671715
2015-03-20,120.080482,40.225189
2015-03-23,121.329918,40.206421
2015-03-24,120.833961,40.24395
2015-03-25,117.676964,38.893097
2015-03-26,118.497215,38.658577
2015-03-27,117.552971,38.433437
2015-03-30,120.528755,38.424053
2015-03-31,118.678413,38.142635
2015-04-01,118.506744,38.198917
2015-04-02,119.527283,37.795536
2015-04-06,121.46344,38.977528
2015-04-07,120.185402,38.958767
2015-04-08,119.794342,38.855576
2015-04-09,120.709961,38.911869
2015-04-10,121.225006,39.137005
2015-04-13,120.986565,39.174526
2015-04-14,120.46199,39.071331
2015-04-15,120.919792,39.643566
2015-04-16,120.33799,39.549763
2015-04-17,118.983627,39.043194
2015-04-20,121.701889,40.253326
2015-04-21,121.0438,40.000038
2015-04-22,122.674751,40.328373
2015-04-23,123.676208,40.656704
2015-04-24,124.257996,44.906242
2015-04-27,126.518456,45.056332
2015-04-28,124.525078,46.116375
2015-04-29,122.693825,46.022568
2015-04-30,119.365135,45.628563
2015-05-01,122.989487,45.647331
2015-05-04,122.751053,45.253326
2015-05-05,119.985092,44.652954
2015-05-06,119.231606,43.414684
2015-05-07,119.969086,43.808681
2015-05-08,122.229424,44.793667
2015-05-11,120.984306,44.437195
2015-05-12,120.553329,44.418427
2015-05-13,120.687416,44.681099
2015-05-14,123.503227,45.703613
2015-05-15,123.330833,45.309616
2015-05-18,124.690865,45.037567
2015-05-19,124.575912,44.924271
2015-05-20,124.566338,44.924271
2015-05-21,125.840164,44.773201
2015-05-22,126.941574,44.282227
2015-05-26,124.14492,43.989521
2015-05-27,126.462708,44.952595
2015-05-28,126.213676,44.801529
2015-05-29,124.777046,44.244453
2015-06-01,125.026062,44.593803
2015-06-02,124.470581,44.301109
2015-06-03,124.623802,44.235012
2015-06-04,123.895912,43.772362
2015-06-05,123.215904,43.564648
2015-06-08,122.401802,43.177528
2015-06-09,122.037849,43.101997
2015-06-10,123.436188,44.008411
2015-06-11,123.158417,43.847897
2015-06-12,121.798416,43.404137
2015-06-15,121.558975,42.941483
2015-06-16,122.210251,43.271946
2015-06-17,121.92292,43.404137
2015-06-18,122.478409,44.112274
2015-06-19,121.252487,43.526875
2015-06-22,122.219826,43.64962
2015-06-23,121.664322,43.347481
2015-06-24,122.698708,43.092552
2015-06-25,122.114471,43.101997
2015-06-26,121.396149,42.733753
2015-06-29,119.269913,41.893436
2015-06-30,120.131905,41.685722
2015-07-01,121.252487,41.968971
2015-07-02,121.099236,41.921768
2015-07-06,120.677834,41.912315
2015-07-07,120.380928,41.827347
2015-07-08,117.392715,41.770699
2015-07-09,114.998314,42.035069
2015-07-10,118.072723,42.120037
2015-07-13,120.352196,42.998135
2015-07-14,120.304298,43.073662
2015-07-15,121.463196,43.205849
2015-07-16,123.081818,44.055618
2015-07-17,124.14492,44.017853
2015-07-20,126.491463,44.301109
2015-07-21,125.227188,44.641014
2015-07-22,119.930779,42.998135
2015-07-23,119.873306,43.53632
2015-07-24,119.241196,43.375801
2015-07-27,117.584259,42.818733
2015-07-28,118.168503,42.809303
2015-07-29,117.794968,43.706272
2015-07-30,117.201164,44.26334
2015-07-31,116.176353,44.093388
2015-08-03,113.437157,44.19725
2015-08-04,109.797668,44.886497
2015-08-05,110.525574,44.924271
2015-08-06,110.76609,44.017853
2015-08-07,111.141319,44.131153
2015-08-10,115.182114,44.688225
2015-08-11,109.188248,43.819569
2015-08-12,110.871918,44.131153
2015-08-13,110.785339,44.121716
2015-08-14,111.564629,44.37664
2015-08-17,112.719162,44.67878
2015-08-18,112.084152,44.925888
2015-08-19,110.650642,44.298618
2015-08-20,108.380096,43.395733
2015-08-21,101.751259,40.934166
2015-08-24,99.211334,39.613098
2015-08-25,99.807816,38.463104
2015-08-26,105.532295,40.592014
2015-08-27,108.639862,41.723003
2015-08-28,108.995834,41.751518
2015-08-31,108.485931,41.361858
2015-09-01,103.636963,39.746147
2015-09-02,108.081833,41.209785
2015-09-03,106.186516,41.342838
2015-09-04,105.128212,40.496979
2015-09-08,108.052979,41.713501
2015-09-09,105.974854,40.934166
2015-09-10,108.303116,41.143253
2015-09-11,109.880959,41.32383
2015-09-14,110.939262,40.905655
2015-09-15,111.872498,41.799038
2015-09-16,111.997581,42.103172
2015-09-17,109.601952,42.055649
2015-09-18,109.149773,41.32383
2015-09-21,110.843056,41.922592
2015-09-22,109.101662,41.723003
2015-09-23,109.986801,41.694489
2015-09-24,110.641022,41.73251
2015-09-25,110.362015,41.761021
2015-09-28,108.178062,41.143253
2015-09-29,104.926178,41.285816
2015-09-30,106.119179,42.065155
2015-10-01,105.42646,42.397797
