Date,AAPL,AMZN,MSFT,NFLX
2015-01-02,103.86647,308.519989,43.555,49.848572
2015-01-05,100.940392,302.190002,43.154472,47.311428
2015-01-06,100.94989,295.290009,42.521076,46.501427
2015-01-07,102.36544,298.420013,43.061325,46.742859
2015-01-08,106.298531,300.459991,44.328106,47.779999
2015-01-09,106.412552,296.929993,43.955528,47.041428
2015-01-12,103.790474,291.410004,43.40596,45.547142
2015-01-13,104.711998,294.73999,43.182419,46.255714
2015-01-14,104.312988,293.269989,42.80983,46.32
2015-01-15,101.481903,286.950012,42.362728,46.251427
2015-01-16,100.693382,290.73999,43.070637,48.191429
2015-01-20,103.286957,289.440002,43.210358,49.828571
2015-01-21,104.075485,297.25,42.772564,58.468571
2015-01-22,106.783058,310.320007,43.899639,61.205715
2015-01-23,107.334084,312.390015,43.946213,62.494286
2015-01-26,107.448074,309.660004,43.787861,63.794285
2015-01-27,103.685966,306.75,39.736023,64.881432
2015-01-28,109.547638,303.910004,38.366768,63.208572
2015-01-29,112.958244,311.779999,39.130566,63.400002
2015-01-30,111.305183,354.529999,37.63092,63.114285
2015-02-02,112.701721,364.470001,38.450603,63.009998
2015-02-03,112.720718,363.549988,38.748669,65.274284
2015-02-04,113.585258,364.75,38.972233,64.101425
2015-02-05,114.395966,373.890015,39.540409,64.129997
2015-02-06,113.43264,374.279999,39.503155,63.48
2015-02-09,114.186127,370.559998,39.456585,63.295715
2015-02-10,116.379814,373.0,39.680126,64.849998
2015-02-11,119.107613,375.140015,39.475208,64.984283
2015-02-12,120.614594,377.170013,40.136551,65.247147
2015-02-13,121.205933,381.829987,40.863087,66.585716
2015-02-17,121.921249,375.429993,40.881844,67.137146
2015-02-18,122.770134,373.369995,40.834942,67.865715
2015-02-19,122.512596,379.0,40.806797,67.800003
2015-02-20,123.514084,383.660004,41.144508,68.314285
2015-02-23,126.85228,380.140015,41.416557,67.405716
2015-02-24,126.060654,378.589996,41.360271,67.839996
2015-02-25,122.836899,385.369995,41.266464,68.332855
2015-02-26,124.391541,384.799988,41.33213,69.004288
2015-02-27,122.522156,380.160004,41.135124,67.844284
2015-03-02,123.123016,385.660004,41.163273,68.60714
2015-03-03,123.380539,384.609985,40.600418,67.815712
2015-03-04,122.598434,382.720001,40.394043,67.110001
2015-03-05,120.56691,387.829987,40.440945,66.807144
2015-03-06,120.748108,380.089996,39.737381,64.874283
2015-03-09,121.263153,378.559998,40.197037,63.66143
2015-03-10,118.754723,369.51001,39.427807,62.151428
2015-03-11,116.589638,366.369995,39.380898,62.884285
2015-03-12,118.697479,374.23999,38.480343,64.045715
2015-03-13,117.877243,370.579987,38.81805,62.628571
2015-03-16,119.174377,373.350006,38.986904,60.281429
2015-03-17,121.16777,371.920013,39.11824,59.78857
2015-03-18,122.531677,375.140015,39.86871,60.445713
2015-03-19,121.606522,373.23999,39.671715,60.744286
2015-03-20,120.080482,378.48999,40.225189,61.185715
2015-03-23,121.329918,375.109985,40.206421,60.714287
2015-03-24,120.833961,374.089996,40.24395,62.611427
2015-03-25,117.676964,370.959991,38.893097,60.25
2015-03-26,118.497215,367.350006,38.658577,59.751427
2015-03-27,117.552971,370.559998,38.433437,59.252857
2015-03-30,120.528755,374.589996,38.424053,60.367142
2015-03-31,118.678413,372.100006,38.142635,59.527142
2015-04-01,118.506744,370.26001,38.198917,59.017143
2015-04-02,119.527283,372.25,37.795536,59.154285
2015-04-06,121.46344,377.040009,38.977528,60.330002
2015-04-07,120.185402,374.410004,38.958767,60.494286
2015-04-08,119.794342,381.200012,38.855576,63.049999
2015-04-09,120.709961,383.540009,38.911869,62.785713
2015-04-10,121.225006,382.649994,39.137005,64.938568
2015-04-13,120.986565,382.359985,39.174526,67.811432
2015-04-14,120.46199,385.109985,39.071331,68.387146
2015-04-15,120.919792,383.450012,39.643566,67.922859
2015-04-16,120.33799,386.040009,39.549763,80.292854
2015-04-17,118.983627,375.559998,39.043194,81.650002
2015-04-20,121.701889,389.51001,40.253326,81.055717
2015-04-21,121.0438,391.179993,40.000038,80.062859
2015-04-22,122.674751,389.799988,40.328373,79.668571
2015-04-23,123.676208,389.98999,40.656704,79.865715
2015-04-24,124.257996,445.100006,44.906242,79.771431
2015-04-27,126.518456,438.559998,45.056332,80.868568
2015-04-28,124.525078,429.309998,46.116375,80.437141
2015-04-29,122.693825,429.369995,46.022568,80.407143
2015-04-30,119.365135,421.779999,45.628563,79.5
2015-05-01,122.989487,422.869995,45.647331,79.575714
2015-05-04,122.751053,423.040009,45.253326,79.271431
2015-05-05,119.985092,421.190002,44.652954,80.792854
2015-05-06,119.231606,419.100006,43.414684,80.077141
2015-05-07,119.969086,426.880005,43.808681,80.748573
2015-05-08,122.229424,433.690002,44.793667,82.085716
2015-05-11,120.984306,432.850006,44.437195,84.278572
2015-05-12,120.553329,431.019989,44.418427,83.377144
2015-05-13,120.687416,426.869995,44.681099,82.872856
2015-05-14,123.503227,432.279999,45.703613,83.835716
2015-05-15,123.330833,426.0,45.309616,87.60714
2015-05-18,124.690865,425.23999,45.037567,88.267143
2015-05-19,124.575912,421.709991,44.924271,88.068573
2015-05-20,124.566338,423.859985,44.924271,88.790001
2015-05-21,125.840164,431.630005,44.773201,89.002853
2015-05-22,126.941574,427.630005,44.282227,88.83857
2015-05-26,124.14492,425.470001,43.989521,87.992859
2015-05-27,126.462708,431.420013,44.952595,89.85714
2015-05-28,126.213676,426.570007,44.801529,89.507141
2015-05-29,124.777046,429.230011,44.244453,89.151428
2015-06-01,125.026062,430.920013,44.593803,89.002853
2015-06-02,124.470581,430.98999,44.301109,89.129997
2015-06-03,124.623802,436.589996,44.235012,88.808571
2015-06-04,123.895912,430.779999,43.772362,89.348572
2015-06-05,123.215904,426.950012,43.564648,90.459999
2015-06-08,122.401802,423.5,43.177528,89.604286
2015-06-09,122.037849,425.480011,43.101997,92.449997
2015-06-10,123.436188,430.769989,44.008411,95.871429
2015-06-11,123.158417,432.970001,43.847897,95.094284
2015-06-12,121.798416,429.920013,43.404137,94.418571
2015-06-15,121.558975,423.670013,42.941483,93.431427
2015-06-16,122.210251,427.26001,43.271946,95.272858
2015-06-17,121.92292,427.809998,43.404137,94.271431
2015-06-18,122.478409,439.390015,44.112274,94.742859
2015-06-19,121.252487,434.920013,43.526875,93.871429
2015-06-22,122.219826,436.290009,43.64962,96.414284
2015-06-23,121.664322,445.98999,43.347481,97.312859
2015-06-24,122.698708,440.839996,43.092552,96.944283
2015-06-25,122.114471,440.100006,43.101997,94.891426
2015-06-26,121.396149,438.100006,42.733753,93.08857
2015-06-29,119.269913,429.859985,41.893436,92.23143
2015-06-30,120.131905,434.089996,41.685722,93.848572
2015-07-01,121.252487,437.390015,41.968971,93.635712
2015-07-02,121.099236,437.709991,41.921768,94.044289
2015-07-06,120.677834,436.040009,41.912315,94.571426
2015-07-07,120.380928,436.720001,41.827347,94.091431
2015-07-08,117.392715,429.700012,41.770699,93.507141
