Date,AAPL,AMZN,MSFT,NFLX
2015-01-02,109.330002,308.519989,46.759998,49.848572
2015-01-05,106.25,302.190002,46.330002,47.311428
2015-01-06,106.260002,295.290009,45.650002,46.501427
2015-01-07,107.75,298.420013,46.23,46.742859
2015-01-08,111.889999,300.459991,47.59,47.779999
2015-01-09,112.010002,296.929993,47.189999,47.041428
2015-01-12,109.25,291.410004,46.599998,45.547142
2015-01-13,110.220001,294.73999,46.360001,46.255714
2015-01-14,109.800003,293.269989,45.959999,46.32
2015-01-15,106.82,286.950012,45.48,46.251427
2015-01-16,105.989998,290.73999,46.240002,48.191429
2015-01-20,108.720001,289.440002,46.389999,49.828571
2015-01-21,109.550003,297.25,45.919998,58.468571
2015-01-22,112.400002,310.320007,47.130001,61.205715
2015-01-23,112.980003,312.390015,47.18,62.494286
2015-01-26,113.099998,309.660004,47.009998,63.794285
2015-01-27,109.139999,306.75,42.66,64.881432
2015-01-28,115.309998,303.910004,41.189999,63.208572
2015-01-29,118.900002,311.779999,42.009998,63.400002
2015-01-30,117.160004,354.529999,40.400002,63.114285
2015-02-02,118.629997,364.470001,41.279999,63.009998
2015-02-03,118.650002,363.549988,41.599998,65.274284
2015-02-04,119.559998,364.75,41.84,64.101425
2015-02-05,119.940002,373.890015,42.450001,64.129997
2015-02-06,118.93,374.279999,42.41,63.48
2015-02-09,119.720001,370.559998,42.360001,63.295715
2015-02-10,122.019997,373.0,42.599998,64.849998
2015-02-11,124.879997,375.140015,42.380001,64.984283
2015-02-12,126.459999,377.170013,43.09,65.247147
2015-02-13,127.080002,381.829987,43.869999,66.585716
2015-02-17,127.830002,375.429993,43.580002,67.137146
2015-02-18,128.720001,373.369995,43.529999,67.865715
2015-02-19,128.449997,379.0,43.5,67.800003
2015-02-20,129.5,383.660004,43.860001,68.314285
2015-02-23,133.0,380.140015,44.150002,67.405716
2015-02-24,132.169998,378.589996,44.09,67.839996
2015-02-25,128.789993,385.369995,43.990002,68.332855
2015-02-26,130.419998,384.799988,44.060001,69.004288
2015-02-27,128.460007,380.160004,43.849998,67.844284
2015-03-02,129.089996,385.660004,43.880001,68.60714
2015-03-03,129.360001,384.609985,43.279999,67.815712
2015-03-04,128.539993,382.720001,43.060001,67.110001
2015-03-05,126.410004,387.829987,43.110001,66.807144
2015-03-06,126.599998,380.089996,42.360001,64.874283
2015-03-09,127.139999,378.559998,42.849998,63.66143
2015-03-10,124.510002,369.51001,42.029999,62.151428
