Date,AAPL,AMZN,GOOG,MSFT
2006-01-03,9.607041,47.580002,216.208771,20.450724
2006-01-04,9.635316,47.25,221.181427,20.549782
2006-01-05,9.559486,47.650002,224.162048,20.56502
2006-01-06,9.806251,47.869999,231.325455,20.504061
2006-01-09,9.774118,47.080002,231.941452,20.465967
2006-01-10,10.392313,45.650002,233.362198,20.572639
2006-01-11,10.783021,44.93,234.291168,20.793604
2006-01-12,10.833144,44.360001,230.317017,20.679312
2006-01-13,11.000223,44.400002,231.618546,20.717409
2006-01-17,10.887124,44.0,232.045761,20.56502
2006-01-18,10.601804,44.32,221.017487,20.443104
2006-01-19,10.158401,44.450001,216.814835,20.587885
2006-01-20,9.779263,43.919998,198.439346,20.123087
2006-01-23,9.982324,43.73,212.368744,20.077364
2006-01-24,9.772834,44.02,220.083572,20.024029
2006-01-25,9.536354,43.599998,215.100983,20.115463
2006-01-26,9.296016,44.68,215.731873,20.191658
2006-01-27,9.25746,45.220001,215.344391,21.174578
2006-01-30,9.639173,44.959999,212.030945,21.334583
2006-01-31,9.704719,44.82,214.932068,21.448881
2006-02-01,9.69315,43.98,199.591843,21.365065
2006-02-02,9.266457,42.740002,196.740387,21.090763
2006-02-03,9.234325,38.330002,189.542206,20.984091
2006-02-06,8.649549,37.950001,191.30574,20.702169
2006-02-07,8.688107,37.52,182.771255,20.526924
2006-02-08,8.84362,38.169998,183.347504,20.504061
2006-02-09,8.347524,37.990002,178.225815,20.313572
2006-02-10,8.650836,38.52,180.133408,20.336428
2006-02-13,8.316678,37.860001,171.733047,20.107841
2006-02-14,8.693248,38.25,170.550735,20.305956
2006-02-15,8.896312,39.259998,170.083771,20.5506
2006-02-16,9.069818,39.150002,182.045959,20.497095
2006-02-17,9.03383,39.189999,183.183563,20.412991
2006-02-21,8.878318,38.290001,182.11055,20.290667
2006-02-22,9.166209,38.720001,181.564102,20.428286
2006-02-23,9.221475,37.900002,187.813461,20.38241
2006-02-24,9.184205,38.349998,187.480621,20.35947
2006-02-27,9.123797,38.009998,193.92868,20.680576
