Date,AAPL,AMZN,GOOG,MSFT
2006-01-03,10.678572,47.580002,216.208771,26.84
2006-01-04,10.71,47.25,221.181427,26.969999
2006-01-05,10.625714,47.650002,224.162048,26.99
2006-01-06,10.9,47.869999,231.325455,26.91
2006-01-09,10.864285,47.080002,231.941452,26.860001
2006-01-10,11.551429,45.650002,233.362198,27.0
2006-01-11,11.985714,44.93,234.291168,27.290001
2006-01-12,12.041429,44.360001,230.317017,27.139999
2006-01-13,12.227143,44.400002,231.618546,27.190001
2006-01-17,12.101429,44.0,232.045761,26.99
2006-01-18,11.784286,44.32,221.017487,26.83
2006-01-19,11.291429,44.450001,216.814835,27.02
2006-01-20,10.87,43.919998,198.439346,26.41
2006-01-23,11.095715,43.73,212.368744,26.35
2006-01-24,10.862857,44.02,220.083572,26.280001
2006-01-25,10.6,43.599998,215.100983,26.4
2006-01-26,10.332857,44.68,215.731873,26.5
2006-01-27,10.29,45.220001,215.344391,27.790001
2006-01-30,10.714286,44.959999,212.030945,28.0
2006-01-31,10.787143,44.82,214.932068,28.15
2006-02-01,10.774285,43.98,199.591843,28.040001
2006-02-02,10.3,42.740002,196.740387,27.68
2006-02-03,10.264286,38.330002,189.542206,27.540001
2006-02-06,9.614285,37.950001,191.30574,27.17
2006-02-07,9.657143,37.52,182.771255,26.940001
2006-02-08,9.83,38.169998,183.347504,26.91
2006-02-09,9.278571,37.990002,178.225815,26.66
2006-02-10,9.615714,38.52,180.133408,26.690001
2006-02-13,9.244286,37.860001,171.733047,26.389999
2006-02-14,9.662857,38.25,170.550735,26.65
2006-02-15,9.888572,39.259998,170.083771,26.879999
2006-02-16,10.081429,39.150002,182.045959,26.809999
2006-02-17,10.041429,39.189999,183.183563,26.700001
2006-02-21,9.868571,38.290001,182.11055,26.540001
2006-02-22,10.188571,38.720001,181.564102,26.719999
2006-02-23,10.25,37.900002,187.813461,26.66
2006-02-24,10.208571,38.349998,187.480621,26.629999
2006-02-27,10.141429,38.009998,193.92868,27.049999
2006-02-28,9.784286,37.439999,180.138367,26.870001
2006-03-01,9.871428,37.119999,181.221329,27.139999
2006-03-02,9.944285,36.880001,187.008682,26.969999
2006-03-03,9.674286,37.209999,187.868103,26.93
2006-03-06,9.354285,36.860001,182.860672,26.91
2006-03-07,9.472857,36.93,181.047455,27.059999
2006-03-08,9.38,36.810001,175.796616,27.25
2006-03-09,9.132857,36.119999,170.391769,27.0
2006-03-10,9.027143,36.220001,167.659531,27.17
2006-03-13,9.382857,36.189999,167.440964,27.110001
2006-03-14,9.617143,36.91,174.445404,27.23
2006-03-15,9.461429,36.889999,171.136917,27.360001
2006-03-16,9.187143,36.77,168.290436,27.27
2006-03-17,9.237143,35.990002,168.797134,27.5
2006-03-20,9.141429,36.23,172.970001,27.889999
2006-03-21,8.83,35.919998,168.861725,27.74
2006-03-22,8.81,36.0,169.010742,27.15
2006-03-23,8.594286,35.68,169.840347,26.85
2006-03-24,8.565714,35.470001,181.718094,27.01
2006-03-27,8.501429,35.25,183.650528,27.01
2006-03-28,8.387143,35.689999,187.381271,26.9
2006-03-29,8.904285,36.32,196.213821,27.02
2006-03-30,8.964286,36.669998,192.964951,27.23
2006-03-31,8.96,36.529999,193.739914,27.209999
2006-04-03,8.95,36.139999,193.590881,27.559999
2006-04-04,8.738571,36.77,200.863571,27.639999
2006-04-05,9.601429,37.34,202.676788,27.74
2006-04-06,10.177143,38.509998,204.261475,27.559999
2006-04-07,9.97,37.09,201.7677,27.25
2006-04-10,9.81,36.610001,206.844681,27.290001
2006-04-11,9.712857,36.060001,203.506393,27.129999
2006-04-12,9.53,36.130001,203.153687,27.200001
2006-04-13,9.495714,36.619999,199.780624,27.07
2006-04-17,9.258572,35.27,202.095566,26.84
2006-04-18,9.46,36.279999,200.813904,27.219999
2006-04-19,9.378572,36.889999,203.923676,27.030001
2006-04-20,9.661428,36.34,206.159134,27.030001
2006-04-21,9.577143,36.029999,217.137726,27.15
2006-04-24,9.392858,35.790001,218.826736,27.110001
2006-04-25,9.452857,35.549999,212.199844,27.110001
2006-04-26,9.735714,35.790001,211.608688,27.1
2006-04-27,9.908571,35.740002,208.657883,27.25
2006-04-28,10.055715,35.209999,207.619629,24.15
2006-05-01,9.942857,34.59,198.161148,24.290001
2006-05-02,10.231428,34.380001,196.124405,24.01
2006-05-03,10.162857,33.959999,195.811432,23.17
2006-05-04,10.161428,34.470001,196.099564,23.440001
2006-05-05,10.27,35.040001,195.876022,23.799999
2006-05-08,10.27,34.689999,196.114471,23.73
2006-05-09,10.147142,34.84,203.079163,23.620001
2006-05-10,10.085714,34.16,200.187973,23.77
2006-05-11,9.735714,33.529999,192.249603,23.219999
